节点	端口	平均利用率
0	1	0.037525
0	2	0.100392
0	3	0.036181
0	4	0.098821
0	5	0.029437
0	6	0.015739
0	7	0.004509
0	8	0.017472
0	9	0.040735
1	1	0.114413
1	2	0.074754
1	3	0.054406
1	4	0.089786
1	5	0.028508
1	6	0.026587
1	7	0.111452
1	8	0.006611
1	9	0.054519
2	1	0.072627
2	2	0.086131
2	3	0.041254
2	4	0.106845
2	5	0.033473
2	6	0.086606
2	7	0.079726
2	8	0.042818
2	9	0.004136
3	1	0.044792
3	2	0.049635
3	3	0.053670
3	4	0.071825
3	5	0.067004
3	6	0.046983
3	7	0.007028
3	8	0.045668
3	9	0.029345
4	1	0.125138
4	2	0.105799
4	3	0.040950
4	4	0.063696
4	5	0.027430
4	6	0.066376
4	7	0.028225
4	8	0.087768
4	9	0.014245
5	1	0.029487
5	2	0.085067
5	3	0.080369
5	4	0.045803
5	5	0.038943
5	6	0.004421
5	7	0.032689
5	8	0.064403
5	9	0.032191
6	1	0.108950
6	2	0.123341
6	3	0.114610
6	4	0.059842
6	5	0.080100
6	6	0.008554
6	7	0.004852
6	8	0.044414
6	9	0.005937
7	1	0.066555
7	2	0.119585
7	3	0.073391
7	4	0.066998
7	5	0.093912
7	6	0.019392
7	7	0.007212
7	8	0.055674
7	9	0.026934
8	1	0.009204
8	2	0.059450
8	3	0.070030
8	4	0.032609
8	5	0.045364
8	6	0.032785
8	7	0.039837
8	8	0.032588
8	9	0.022998
9	1	0.139458
9	2	0.157829
9	3	0.065637
9	4	0.065168
9	5	0.097023
9	6	0.046654
9	7	0.029533
9	8	0.014862
9	9	0.011731
10	1	0.063187
10	2	0.103749
10	3	0.055342
10	4	0.060388
10	5	0.032305
10	6	0.038990
10	7	0.056258
10	8	0.029686
10	9	0.037193
11	1	0.047654
11	2	0.016322
11	3	0.044751
11	4	0.135288
11	5	0.032712
11	6	0.083659
11	7	0.076393
11	8	0.032231
11	9	0.073881
12	1	0.028399
12	2	0.130824
12	3	0.094537
12	4	0.036852
12	5	0.008803
12	6	0.029723
12	7	0.028106
12	8	0.049395
12	9	0.040613
13	1	0.108641
13	2	0.119129
13	3	0.161627
13	4	0.094639
13	5	0.108638
13	6	0.020120
13	7	0.048495
13	8	0.047260
13	9	0.025221
14	1	0.079145
14	2	0.092879
14	3	0.010003
14	4	0.062953
14	5	0.107250
14	6	0.015338
14	7	0.046076
14	8	0.014036
14	9	0.037591
15	1	0.029271
15	2	0.039697
15	3	0.033735
15	4	0.092960
15	5	0.034642
15	6	0.004303
15	7	0.034734
15	8	0.081311
15	9	0.072969
16	1	0.081133
16	2	0.035060
16	3	0.029747
16	4	0.049709
16	5	0.039788
16	6	0.079369
16	7	0.004475
16	8	0.066600
16	9	0.038710
17	1	0.149476
17	2	0.095242
17	3	0.007802
17	4	0.102432
17	5	0.051402
17	6	0.006897
17	7	0.018205
17	8	0.031203
17	9	0.056234
18	1	0.115563
18	2	0.102591
18	3	0.043708
18	4	0.066287
18	5	0.026678
18	6	0.008831
18	7	0.025594
18	8	0.053972
18	9	0.004211
19	1	0.060096
19	2	0.006884
19	3	0.103996
19	4	0.065440
19	5	0.023480
19	6	0.034773
19	7	0.031777
19	8	0.054684
19	9	0.005532
20	1	0.062781
20	2	0.117935
20	3	0.046833
20	4	0.060085
20	5	0.044345
20	6	0.038507
20	7	0.048193
20	8	0.043280
20	9	0.072646
21	1	0.144105
21	2	0.111302
21	3	0.077203
21	4	0.014684
21	5	0.063625
21	6	0.064841
21	7	0.051605
21	8	0.070136
21	9	0.039983
22	1	0.018765
22	2	0.101681
22	3	0.093007
22	4	0.091533
