节点	端口	平均利用率
0	1	0.014233
0	2	0.154138
0	3	0.038344
0	4	0.104819
0	5	0.046566
0	6	0.016613
0	7	0.004800
0	8	0.018561
0	9	0.042866
1	1	0.066660
1	2	0.079164
1	3	0.059612
1	4	0.128691
1	5	0.030690
1	6	0.028095
1	7	0.117664
1	8	0.006978
1	9	0.057572
2	1	0.101410
2	2	0.122421
2	3	0.039165
2	4	0.102295
2	5	0.076105
2	6	0.091443
2	7	0.084393
2	8	0.045243
2	9	0.004384
3	1	0.031009
3	2	0.053041
3	3	0.082080
3	4	0.074948
3	5	0.080579
3	6	0.049564
3	7	0.007429
3	8	0.048302
3	9	0.031176
4	1	0.128791
4	2	0.136867
4	3	0.043008
4	4	0.067376
4	5	0.007092
4	6	0.070293
4	7	0.029796
4	8	0.092815
4	9	0.015143
5	1	0.030724
5	2	0.091976
5	3	0.085789
5	4	0.045366
5	5	0.041945
5	6	0.004669
5	7	0.034444
5	8	0.068006
5	9	0.033996
6	1	0.084081
6	2	0.144504
6	3	0.136775
6	4	0.062370
6	5	0.080383
6	6	0.009015
6	7	0.005120
6	8	0.046844
6	9	0.006214
7	1	0.062584
7	2	0.110941
7	3	0.024617
7	4	0.071242
7	5	0.075378
7	6	0.020501
7	7	0.007616
7	8	0.058731
7	9	0.028559
8	1	0.007614
8	2	0.045131
8	3	0.074871
8	4	0.012316
8	5	0.049564
8	6	0.034661
8	7	0.042470
8	8	0.034381
8	9	0.024335
9	1	0.146227
9	2	0.171338
9	3	0.069356
9	4	0.061827
9	5	0.117526
9	6	0.049313
9	7	0.031220
9	8	0.015709
9	9	0.012479
10	1	0.063184
10	2	0.096272
10	3	0.037049
10	4	0.076258
10	5	0.034117
10	6	0.041201
10	7	0.059442
10	8	0.031573
10	9	0.039406
11	1	0.073905
11	2	0.053889
11	3	0.048926
11	4	0.141815
11	5	0.035156
11	6	0.088450
11	7	0.080644
11	8	0.033903
11	9	0.078176
12	1	0.030965
12	2	0.166290
12	3	0.093532
12	4	0.068354
12	5	0.036400
12	6	0.031546
12	7	0.029694
12	8	0.051941
12	9	0.042914
13	1	0.106465
13	2	0.113716
13	3	0.151542
13	4	0.090451
13	5	0.067252
13	6	0.021389
13	7	0.051365
13	8	0.049859
13	9	0.026644
14	1	0.085378
14	2	0.101826
14	3	0.012013
14	4	0.055044
14	5	0.072404
14	6	0.016162
14	7	0.048571
14	8	0.014919
14	9	0.039824
15	1	0.030048
15	2	0.007633
15	3	0.035748
15	4	0.098370
15	5	0.033284
15	6	0.004520
15	7	0.036366
15	8	0.086158
15	9	0.077007
16	1	0.017176
16	2	0.039053
16	3	0.031044
16	4	0.062138
16	5	0.044670
16	6	0.083836
16	7	0.004718
16	8	0.070290
16	9	0.040893
17	1	0.128096
17	2	0.107386
17	3	0.008199
17	4	0.107944
17	5	0.105577
17	6	0.007301
17	7	0.019307
17	8	0.033005
17	9	0.059292
18	1	0.114176
18	2	0.097755
18	3	0.018225
18	4	0.086555
18	5	0.069333
18	6	0.009330
18	7	0.026948
18	8	0.056951
18	9	0.004480
19	1	0.078454
19	2	0.095298
19	3	0.082514
19	4	0.071027
19	5	0.027197
19	6	0.036909
19	7	0.033522
19	8	0.057772
19	9	0.005839
20	1	0.029034
20	2	0.098191
20	3	0.078450
20	4	0.064410
20	5	0.091417
20	6	0.040844
20	7	0.050933
20	8	0.046050
20	9	0.076793
21	1	0.169010
21	2	0.117661
21	3	0.087500
21	4	0.027128
21	5	0.067680
21	6	0.068500
21	7	0.054290
21	8	0.074169
21	9	0.042220
22	1	0.031413
22	2	0.103850
22	3	0.097894
22	4	0.100073
22	5	0.061745
22	6	0.020241
22	7	0.022249
22	8	0.004386
22	9	0.076787
23	1	0.071929
23	2	0.063451
23	3	0.048656
23	4	0.142596
23	5	0.034836
23	6	0.043450
23	7	0.018079
23	8	0.045327
23	9	0.009932
24	1	0.043378
24	2	0.150986
24	3	0.043272
24	4	0.092828
24	5	0.045262
24	6	0.054419
24	7	0.024304
24	8	0.060448
24	9	0.089074
25	1	0.065335
25	2	0.148644
25	3	0.035717
25	4	0.037672
25	5	0.089242
25	6	0.022752
25	7	0.058669
25	8	0.025666
25	9	0.029350
26	1	0.077108
26	2	0.119897
26	3	0.106495
26	4	0.127506
26	5	0.115776
26	6	0.031660
26	7	0.021428
26	8	0.041159
26	9	0.031062
27	1	0.102227
27	2	0.076792
27	3	0.096579
27	4	0.008851
27	5	0.012889
27	6	0.066275
27	7	0.004274
27	8	0.006414
27	9	0.076741
28	1	0.083412
28	2	0.091795
28	3	0.068999
28	4	0.047197
28	5	0.064498
28	6	0.022960
28	7	0.041410
28	8	0.024448
28	9	0.068642
29	1	0.076857
29	2	0.082373
29	3	0.034389
29	4	0.099762
29	5	0.054870
29	6	0.023628
29	7	0.007742
29	8	0.056413
29	9	0.047327
30	1	0.104672
30	2	0.059378
30	3	0.057252
30	4	0.073527
30	5	0.022871
30	6	0.061937
30	7	0.040401
30	8	0.106230
30	9	0.005629
31	1	0.085013
31	2	0.056132
31	3	0.045772
31	4	0.010834
31	5	0.018067
31	6	0.041284
31	7	0.055976
31	8	0.041856
31	9	0.042607
32	1	0.063591
32	2	0.083469
32	3	0.070171
32	4	0.143638
32	5	0.084845
32	6	0.031435
32	7	0.058850
32	8	0.037444
32	9	0.027128
33	1	0.121550
33	2	0.052376
33	3	0.077498
33	4	0.018542
33	5	0.042858
33	6	0.088472
33	7	0.050409
33	8	0.005841
33	9	0.037041
34	1	0.114937
34	2	0.104635
34	3	0.051508
34	4	0.055033
34	5	0.097907
34	6	0.034948
34	7	0.037738
34	8	0.063301
34	9	0.037923
35	1	0.139916
35	2	0.140665
35	3	0.092609
35	4	0.036275
35	5	0.080522
35	6	0.030502
35	7	0.022082
35	8	0.043555
35	9	0.051056
36	1	0.054395
37	1	0.002844
38	1	0.036248
39	1	0.031151
40	1	0.056335
41	1	0.012857
42	1	0.031099
43	1	0.059976
44	1	0.023650
45	1	0.058307
46	1	0.029229
47	1	0.006533
48	1	0.050901
49	1	0.033126
50	1	0.043432
51	1	0.030479
52	1	0.011952
53	1	0.071909
54	1	0.095854
55	1	0.080098
56	1	0.002957
57	1	0.039776
58	1	0.077161
59	1	0.010966
60	1	0.066207
61	1	0.023303
62	1	0.019119
63	1	0.054762
64	1	0.060289
65	1	0.079444
66	1	0.020483
67	1	0.072646
68	1	0.065354
69	1	0.004794
70	1	0.008580
71	1	0.004751
72	1	0.049583
73	1	0.072652
74	1	0.057752
75	1	0.021725
76	1	0.006024
77	1	0.055020
78	1	0.032007
79	1	0.071793
80	1	0.030625
81	1	0.024335
82	1	0.042122
83	1	0.052985
84	1	0.071849
85	1	0.070655
86	1	0.008810
87	1	0.034199
88	1	0.036711
89	1	0.051744
90	1	0.037219
91	1	0.081622
92	1	0.035475
93	1	0.037842
94	1	0.029973
95	1	0.032098
96	1	0.028863
97	1	0.007675
98	1	0.034438
99	1	0.016370
100	1	0.023865
101	1	0.015925
102	1	0.030719
103	1	0.048856
104	1	0.046724
105	1	0.026790
106	1	0.018758
107	1	0.121749
108	1	0.065424
109	1	0.036689
110	1	0.035217
111	1	0.040036
112	1	0.065951
113	1	0.011775
114	1	0.071973
115	1	0.042927
116	1	0.020648
117	1	0.065861
118	1	0.046548
119	1	0.046954
120	1	0.069310
121	1	0.069249
122	1	0.035393
123	1	0.006864
124	1	0.006361
125	1	0.052657
126	1	0.003952
127	1	0.091161
128	1	0.007629
129	1	0.032771
130	1	0.007557
131	1	0.025616
132	1	0.084992
133	1	0.036459
134	1	0.029930
135	1	0.017679
136	1	0.031420
137	1	0.034069
138	1	0.004016
139	1	0.057040
140	1	0.034379
141	1	0.072041
142	1	0.096397
143	1	0.047672
144	1	0.048696
145	1	0.004558
146	1	0.006734
147	1	0.073069
148	1	0.083561
149	1	0.031909
150	1	0.022710
151	1	0.065573
152	1	0.042790
153	1	0.034850
154	1	0.038955
155	1	0.005338
156	1	0.008106
157	1	0.080893
158	1	0.009421
159	1	0.026131
160	1	0.056408
161	1	0.007512
162	1	0.036810
163	1	0.013040
164	1	0.032789
165	1	0.099788
166	1	0.045590
167	1	0.037206
168	1	0.059925
169	1	0.007658
170	1	0.014712
171	1	0.052778
172	1	0.010630
173	1	0.059226
174	1	0.027223
175	1	0.032972
176	1	0.020242
177	1	0.020481
178	1	0.020817
179	1	0.107221
