节点	端口	平均利用率
0	1	0.141617
0	2	0.378781
0	3	0.136346
0	4	0.372769
0	5	0.110874
0	6	0.059198
0	7	0.016843
0	8	0.065749
0	9	0.152820
1	1	0.431983
1	2	0.282256
1	3	0.204785
1	4	0.338828
1	5	0.107452
1	6	0.100290
1	7	0.419373
1	8	0.024932
1	9	0.204864
2	1	0.273907
2	2	0.325048
2	3	0.155575
2	4	0.402659
2	5	0.125624
2	6	0.326156
2	7	0.300924
2	8	0.160345
2	9	0.015598
3	1	0.169060
3	2	0.185880
3	3	0.202330
3	4	0.269921
3	5	0.252228
3	6	0.176747
3	7	0.026491
3	8	0.172157
3	9	0.109788
4	1	0.471760
4	2	0.398481
4	3	0.154355
4	4	0.240202
4	5	0.103569
4	6	0.249462
4	7	0.106251
4	8	0.331144
4	9	0.053730
5	1	0.111482
5	2	0.320800
5	3	0.303083
5	4	0.172699
5	5	0.147281
5	6	0.016497
5	7	0.122859
5	8	0.242680
5	9	0.121306
6	1	0.411442
6	2	0.465226
6	3	0.432121
6	4	0.225134
6	5	0.302284
6	6	0.032099
6	7	0.018227
6	8	0.166675
6	9	0.022183
7	1	0.250827
7	2	0.451813
7	3	0.275990
7	4	0.253464
7	5	0.354288
7	6	0.073039
7	7	0.027120
7	8	0.209165
7	9	0.101380
8	1	0.034583
8	2	0.224353
8	3	0.264076
8	4	0.122927
8	5	0.170972
8	6	0.123394
8	7	0.149760
8	8	0.122438
8	9	0.085840
9	1	0.526481
9	2	0.595537
9	3	0.247939
9	4	0.245644
9	5	0.366347
9	6	0.175464
9	7	0.110901
9	8	0.055768
9	9	0.043763
10	1	0.238352
10	2	0.391954
10	3	0.208065
10	4	0.227549
10	5	0.121377
10	6	0.146092
10	7	0.211850
10	8	0.111099
10	9	0.140181
11	1	0.180295
11	2	0.061583
11	3	0.169161
11	4	0.510532
11	5	0.122630
11	6	0.314959
11	7	0.287528
11	8	0.120715
11	9	0.278274
12	1	0.106250
12	2	0.493195
12	3	0.356952
12	4	0.138076
12	5	0.033260
12	6	0.112505
12	7	0.105952
12	8	0.184136
12	9	0.152071
13	1	0.410081
13	2	0.449661
13	3	0.610076
13	4	0.356636
13	5	0.409659
13	6	0.075579
13	7	0.182982
13	8	0.177450
13	9	0.094865
14	1	0.298906
14	2	0.350409
14	3	0.037421
14	4	0.237373
14	5	0.404074
14	6	0.057172
14	7	0.172923
14	8	0.052938
14	9	0.141665
15	1	0.110495
15	2	0.149554
15	3	0.125903
15	4	0.350624
15	5	0.130710
15	6	0.016098
15	7	0.129895
15	8	0.306022
15	9	0.273761
16	1	0.306076
16	2	0.132240
16	3	0.111083
16	4	0.187110
16	5	0.147646
16	6	0.299211
16	7	0.016737
16	8	0.250665
16	9	0.145231
17	1	0.563665
17	2	0.359343
17	3	0.029423
17	4	0.386763
17	5	0.193940
17	6	0.025987
17	7	0.068839
17	8	0.117549
17	9	0.211673
18	1	0.436264
18	2	0.386650
18	3	0.164096
18	4	0.250130
18	5	0.100378
18	6	0.033079
18	7	0.096100
18	8	0.203096
18	9	0.015739
19	1	0.226791
19	2	0.025875
19	3	0.392535
19	4	0.246645
19	5	0.088179
19	6	0.131154
19	7	0.119350
19	8	0.206325
19	9	0.020759
20	1	0.236950
20	2	0.444876
20	3	0.176782
20	4	0.226863
20	5	0.167509
20	6	0.144451
20	7	0.181218
20	8	0.163423
20	9	0.273628
21	1	0.543315
21	2	0.420191
21	3	0.290203
21	4	0.055345
21	5	0.240000
21	6	0.244276
21	7	0.193674
21	8	0.263480
21	9	0.149315
22	1	0.070798
22	2	0.384263
22	3	0.350887
22	4	0.344367
22	5	0.223453
22	6	0.072128
22	7	0.079106
22	8	0.015358
22	9	0.273975
23	1	0.222587
23	2	0.130913
23	3	0.144334
23	4	0.641087
23	5	0.136953
23	6	0.154490
23	7	0.064081
23	8	0.160312
23	9	0.035252
24	1	0.191291
24	2	0.465645
24	3	0.109422
24	4	0.326894
24	5	0.170448
24	6	0.193882
24	7	0.086740
24	8	0.215456
24	9	0.317215
25	1	0.158508
25	2	0.476281
25	3	0.187290
25	4	0.207087
25	5	0.319613
25	6	0.080844
25	7	0.213178
25	8	0.090515
25	9	0.104523
26	1	0.265801
26	2	0.559737
26	3	0.293265
26	4	0.508305
26	5	0.406797
26	6	0.111762
26	7	0.076643
26	8	0.146836
26	9	0.111339
27	1	0.455594
27	2	0.343271
27	3	0.314781
27	4	0.030189
27	5	0.048537
27	6	0.236227
27	7	0.015603
27	8	0.022940
27	9	0.273664
28	1	0.470010
28	2	0.235106
28	3	0.195880
28	4	0.162320
28	5	0.296818
28	6	0.081841
28	7	0.146709
28	8	0.086763
28	9	0.244476
29	1	0.255896
29	2	0.284481
29	3	0.063319
29	4	0.257493
29	5	0.193237
29	6	0.084297
