节点	端口	平均利用率
0	1	0.763742
0	2	0.811988
0	3	0.670043
0	4	0.690764
0	5	0.582294
0	6	0.207087
0	7	0.073418
0	8	0.043603
0	9	0.470790
1	1	0.832930
1	2	0.618611
1	3	0.686997
1	4	0.711508
1	5	0.656149
1	6	0.174215
1	7	0.031762
1	8	0.182085
1	9	0.321554
2	1	0.792808
2	2	0.767561
2	3	0.613481
2	4	0.452160
2	5	0.611063
2	6	0.347215
2	7	0.226281
2	8	0.332283
2	9	0.203435
3	1	0.768472
3	2	0.737553
3	3	0.669764
3	4	0.606770
3	5	0.721852
3	6	0.115960
3	7	0.252041
3	8	0.255896
3	9	0.280488
4	1	0.880263
4	2	0.893855
4	3	0.741722
4	4	0.729988
4	5	0.769168
4	6	0.235901
4	7	0.420758
4	8	0.294406
4	9	0.143025
5	1	0.764677
5	2	0.884236
5	3	0.720796
5	4	0.646496
5	5	0.647835
5	6	0.458365
5	7	0.187929
5	8	0.135221
5	9	0.230347
6	1	0.854062
6	2	0.867493
6	3	0.626475
6	4	0.574676
6	5	0.598194
6	6	0.386782
6	7	0.231216
6	8	0.091917
6	9	0.349666
7	1	0.855568
7	2	0.842924
7	3	0.785493
7	4	0.812362
7	5	0.807074
7	6	0.222259
7	7	0.085590
7	8	0.359310
7	9	0.486764
8	1	0.808586
8	2	0.552895
8	3	0.595996
8	4	0.636462
8	5	0.705607
8	6	0.193950
8	7	0.069010
8	8	0.195975
8	9	0.095471
9	1	0.772395
9	2	0.778693
9	3	0.456496
9	4	0.602036
9	5	0.643343
9	6	0.244445
9	7	0.367013
9	8	0.172183
9	9	0.304918
10	1	0.755033
10	2	0.743262
10	3	0.545842
10	4	0.739529
10	5	0.752905
10	6	0.263506
10	7	0.187456
10	8	0.304855
10	9	0.356292
11	1	0.707697
11	2	0.748838
11	3	0.614356
11	4	0.777232
11	5	0.747275
11	6	0.520831
11	7	0.197473
11	8	0.245705
11	9	0.336031
12	1	0.573662
12	2	0.779739
12	3	0.838438
12	4	0.621803
12	5	0.746453
12	6	0.535180
12	7	0.092951
12	8	0.127963
12	9	0.200915
13	1	0.794393
13	2	0.752571
13	3	0.668844
13	4	0.627673
13	5	0.704254
13	6	0.673329
13	7	0.124117
13	8	0.803031
13	9	0.391480
14	1	0.705808
14	2	0.755090
14	3	0.573757
14	4	0.776529
14	5	0.616540
14	6	0.041301
14	7	0.375442
14	8	0.133176
14	9	0.024125
15	1	0.749782
15	2	0.802330
15	3	0.458625
15	4	0.844113
15	5	0.436499
15	6	0.281578
15	7	0.303177
15	8	0.037741
15	9	0.355756
16	1	0.875412
16	2	0.879323
16	3	0.604518
16	4	0.594270
16	5	0.536791
16	6	0.103248
16	7	0.122258
16	8	0.067965
16	9	0.164236
17	1	0.878652
17	2	0.872115
17	3	0.630069
17	4	0.800961
17	5	0.552425
17	6	0.263998
17	7	0.251505
17	8	0.061358
17	9	0.026845
18	1	0.868772
18	2	0.874743
18	3	0.555670
18	4	0.567446
18	5	0.565511
18	6	0.299387
18	7	0.144958
18	8	0.393753
18	9	0.100629
19	1	0.886489
19	2	0.903815
19	3	0.522535
19	4	0.581828
19	5	0.700872
19	6	0.054258
19	7	0.138015
19	8	0.030121
19	9	0.164167
20	1	0.708096
20	2	0.756782
20	3	0.599707
20	4	0.693330
20	5	0.505325
20	6	0.230293
20	7	0.546393
20	8	0.406943
20	9	0.288562
21	1	0.718002
21	2	0.689699
21	3	0.648852
21	4	0.540653
21	5	0.412857
21	6	0.027821
21	7	0.467171
21	8	0.112967
21	9	0.206279
22	1	0.765435
22	2	0.797725
22	3	0.759130
22	4	0.519998
22	5	0.600725
22	6	0.304142
22	7	0.375614
22	8	0.116584
22	9	0.163756
23	1	0.826234
23	2	0.561212
23	3	0.715275
23	4	0.677897
23	5	0.723192
23	6	0.193065
23	7	0.096694
23	8	0.295521
23	9	0.088511
24	1	0.786576
24	2	0.782062
24	3	0.608201
24	4	0.806877
24	5	0.461538
24	6	0.265682
24	7	0.082177
24	8	0.080503
24	9	0.126237
25	1	0.782159
25	2	0.808596
25	3	0.780483
25	4	0.875490
25	5	0.761901
25	6	0.061028
25	7	0.125351
25	8	0.343721
25	9	0.410416
26	1	0.767554
26	2	0.835126
26	3	0.418450
26	4	0.524070
26	5	0.506149
26	6	0.212880
26	7	0.494787
26	8	0.652692
26	9	0.394881
27	1	0.653842
27	2	0.821884
27	3	0.735639
27	4	0.777846
27	5	0.877515
27	6	0.271684
27	7	0.217318
27	8	0.283828
27	9	0.176864
28	1	0.716120
28	2	0.701050
28	3	0.594338
28	4	0.640841
28	5	0.561576
28	6	0.216357
28	7	0.210221
28	8	0.339221
28	9	0.042494
29	1	0.771879
29	2	0.815129
29	3	0.503872
29	4	0.709828
29	5	0.551207
29	6	0.267247
29	7	0.102639
29	8	0.204381
29	9	0.176460
30	1	0.834065
30	2	0.555014
30	3	0.643068
30	4	0.603330
30	5	0.546531
30	6	0.544107
30	7	0.528665
30	8	0.148287
30	9	0.031827
31	1	0.791344
31	2	0.777867
31	3	0.567377
31	4	0.708295
31	5	0.715208
31	6	0.324297
31	7	0.107375
31	8	0.040342
31	9	0.256688
32	1	0.748405
32	2	0.787658
32	3	0.878633
32	4	0.518420
32	5	0.594268
32	6	0.202636
32	7	0.219782
32	8	0.040492
32	9	0.034862
33	1	0.799958
33	2	0.821560
33	3	0.401733
33	4	0.419349
33	5	0.361408
33	6	0.597516
33	7	0.387246
33	8	0.273539
33	9	0.673885
34	1	0.646014
34	2	0.809483
34	3	0.567323
34	4	0.860925
34	5	0.575975
34	6	0.130311
34	7	0.109410
34	8	0.086419
34	9	0.161902
35	1	0.810329
35	2	0.793363
35	3	0.628489
35	4	0.842922
35	5	0.522822
35	6	0.168586
35	7	0.037894
35	8	0.131654
35	9	0.153462
36	1	0.316451
37	1	0.018724
38	1	0.205629
39	1	0.240977
40	1	0.272079
41	1	0.117985
42	1	0.103208
43	1	0.418778
44	1	0.149924
45	1	0.269183
46	1	0.116070
47	1	0.186931
48	1	0.288868
49	1	0.482618
50	1	0.039772
51	1	0.284352
52	1	0.273614
53	1	0.523319
54	1	0.521437
55	1	0.160584
56	1	0.101482
57	1	0.525976
58	1	0.085952
59	1	0.193874
60	1	0.281597
61	1	0.167201
62	1	0.313107
63	1	0.055558
64	1	0.683126
65	1	0.124184
