节点	端口	平均利用率
0	1	0.642049
0	2	0.674637
0	3	0.567636
0	4	0.570054
0	5	0.449096
0	6	0.197456
0	7	0.070546
0	8	0.042835
0	9	0.446726
1	1	0.712787
1	2	0.547618
1	3	0.552326
1	4	0.598390
1	5	0.518272
1	6	0.165213
1	7	0.030642
1	8	0.172696
1	9	0.305106
2	1	0.652017
2	2	0.618959
2	3	0.519899
2	4	0.324696
2	5	0.487987
2	6	0.329402
2	7	0.214741
2	8	0.315063
2	9	0.193146
3	1	0.622305
3	2	0.616529
3	3	0.573408
3	4	0.466781
3	5	0.572298
3	6	0.110064
3	7	0.238774
3	8	0.242443
3	9	0.266657
4	1	0.761598
4	2	0.791436
4	3	0.585504
4	4	0.603908
4	5	0.673809
4	6	0.223683
4	7	0.399274
4	8	0.279403
4	9	0.135939
5	1	0.639910
5	2	0.752307
5	3	0.570620
5	4	0.556742
5	5	0.553189
5	6	0.435123
5	7	0.178699
5	8	0.128879
5	9	0.218565
6	1	0.720109
6	2	0.740491
6	3	0.509046
6	4	0.491541
6	5	0.457064
6	6	0.367425
6	7	0.219112
6	8	0.087300
6	9	0.331649
7	1	0.725189
7	2	0.724690
7	3	0.717470
7	4	0.685636
7	5	0.654949
7	6	0.210784
7	7	0.081357
7	8	0.340704
7	9	0.461824
8	1	0.694628
8	2	0.501937
8	3	0.460599
8	4	0.543567
8	5	0.614295
8	6	0.184352
8	7	0.065947
8	8	0.186012
8	9	0.090652
9	1	0.612917
9	2	0.664443
9	3	0.332109
9	4	0.480556
9	5	0.556029
9	6	0.231933
9	7	0.348322
9	8	0.163104
9	9	0.289619
10	1	0.603357
10	2	0.633769
10	3	0.472859
10	4	0.622992
10	5	0.595753
10	6	0.250359
10	7	0.177728
10	8	0.288923
10	9	0.337792
11	1	0.546376
11	2	0.630210
11	3	0.551645
11	4	0.647868
11	5	0.637689
11	6	0.494392
11	7	0.186974
11	8	0.233646
11	9	0.318712
12	1	0.521928
12	2	0.657097
12	3	0.720830
12	4	0.488132
12	5	0.621207
12	6	0.507534
12	7	0.088106
12	8	0.121399
12	9	0.190506
13	1	0.687470
13	2	0.640062
13	3	0.575188
13	4	0.513380
13	5	0.566544
13	6	0.638905
13	7	0.117886
13	8	0.761731
13	9	0.371550
14	1	0.601289
14	2	0.655488
14	3	0.474602
14	4	0.630720
14	5	0.555798
14	6	0.039645
14	7	0.356042
14	8	0.126900
14	9	0.023776
15	1	0.624998
15	2	0.666188
15	3	0.321951
15	4	0.744218
15	5	0.418422
15	6	0.267880
15	7	0.287251
15	8	0.036231
15	9	0.337185
16	1	0.787111
16	2	0.793132
16	3	0.570812
16	4	0.450338
16	5	0.464265
16	6	0.098444
16	7	0.116121
16	8	0.064931
16	9	0.156049
17	1	0.803846
17	2	0.787385
17	3	0.568340
17	4	0.674181
17	5	0.500608
17	6	0.250401
17	7	0.238754
17	8	0.058439
17	9	0.025628
18	1	0.776925
18	2	0.778290
18	3	0.447312
18	4	0.418379
18	5	0.485340
18	6	0.284065
18	7	0.137776
18	8	0.374702
18	9	0.095575
19	1	0.797716
19	2	0.827042
19	3	0.449671
19	4	0.532916
19	5	0.638792
19	6	0.051809
19	7	0.131361
19	8	0.028844
19	9	0.156319
20	1	0.611046
20	2	0.617041
20	3	0.492174
20	4	0.547493
20	5	0.431612
20	6	0.218340
20	7	0.518742
20	8	0.385888
20	9	0.273627
21	1	0.568883
21	2	0.561309
21	3	0.530689
21	4	0.398678
21	5	0.350819
21	6	0.027130
21	7	0.442938
21	8	0.107152
21	9	0.195605
22	1	0.630744
22	2	0.666423
22	3	0.614063
22	4	0.385002
22	5	0.462820
22	6	0.288484
22	7	0.356265
22	8	0.110543
22	9	0.156113
23	1	0.688152
23	2	0.516535
23	3	0.627429
23	4	0.560780
23	5	0.609428
23	6	0.183099
23	7	0.091714
23	8	0.280132
23	9	0.084442
24	1	0.661104
24	2	0.652586
24	3	0.522089
24	4	0.674145
24	5	0.342239
24	6	0.251671
24	7	0.077900
24	8	0.076510
24	9	0.119402
25	1	0.661318
25	2	0.684789
25	3	0.618438
25	4	0.775024
25	5	0.617667
25	6	0.058029
25	7	0.118806
25	8	0.326162
25	9	0.389259
26	1	0.651280
26	2	0.726330
26	3	0.340694
26	4	0.422299
26	5	0.405827
26	6	0.201733
26	7	0.469215
26	8	0.619097
26	9	0.374534
27	1	0.545958
27	2	0.712445
27	3	0.640070
27	4	0.621534
27	5	0.771609
27	6	0.257627
27	7	0.206651
27	8	0.269548
27	9	0.167820
28	1	0.582328
28	2	0.568887
28	3	0.459449
28	4	0.545610
28	5	0.448807
28	6	0.205969
28	7	0.199373
28	8	0.322255
28	9	0.040804
29	1	0.648916
29	2	0.661514
29	3	0.379743
29	4	0.600844
29	5	0.419150
29	6	0.253832
29	7	0.097731
29	8	0.194288
29	9	0.167649
30	1	0.710948
30	2	0.503527
30	3	0.514864
30	4	0.532171
30	5	0.472195
30	6	0.516566
30	7	0.501368
30	8	0.141088
30	9	0.030963
31	1	0.664223
31	2	0.641292
31	3	0.478244
31	4	0.541937
31	5	0.631791
31	6	0.307500
31	7	0.102085
31	8	0.038674
31	9	0.242677
32	1	0.633056
32	2	0.672474
32	3	0.752004
32	4	0.444612
32	5	0.503409
32	6	0.192192
32	7	0.208921
32	8	0.038464
32	9	0.033357
33	1	0.666598
33	2	0.702602
33	3	0.333716
33	4	0.310309
33	5	0.280024
33	6	0.566926
33	7	0.367613
33	8	0.259154
33	9	0.639453
34	1	0.569306
34	2	0.690163
34	3	0.471205
34	4	0.747499
34	5	0.438636
34	6	0.123684
34	7	0.104272
34	8	0.081887
34	9	0.153707
35	1	0.685401
35	2	0.669429
35	3	0.528232
35	4	0.715802
35	5	0.398351
35	6	0.159952
35	7	0.036136
35	8	0.125046
35	9	0.145370
36	1	0.300979
37	1	0.019534
38	1	0.195432
39	1	0.229905
40	1	0.257823
41	1	0.112492
42	1	0.098464
43	1	0.397459
44	1	0.143487
45	1	0.255090
46	1	0.110277
47	1	0.177347
48	1	0.273912
49	1	0.458542
50	1	0.038032
51	1	0.269776
52	1	0.260349
53	1	0.496314
54	1	0.493923
55	1	0.152359
56	1	0.096485
57	1	0.498931
58	1	0.083353
59	1	0.183420
60	1	0.267696
61	1	0.158481
62	1	0.297753
63	1	0.052759
64	1	0.647658
65	1	0.118019
66	1	0.475002
67	1	0.366483
68	1	0.026655
69	1	0.044113
70	1	0.032838
71	1	0.420607
72	1	0.239306
73	1	0.325072
74	1	0.030177
75	1	0.035559
76	1	0.299554
77	1	0.167223
78	1	0.375391
79	1	0.152895
80	1	0.301789
81	1	0.067492
82	1	0.354295
83	1	0.321515
84	1	0.407726
85	1	0.024205
86	1	0.185779
87	1	0.412816
88	1	0.210549
89	1	0.256821
90	1	0.758408
91	1	0.114065
92	1	0.114551
93	1	0.316990
94	1	0.164671
95	1	0.037877
96	1	0.183047
97	1	0.077012
98	1	0.110560
99	1	0.101386
100	1	0.147205
101	1	0.248763
102	1	0.259627
103	1	0.322939
104	1	0.104907
105	1	0.658015
106	1	0.357952
107	1	0.190824
108	1	0.192158
109	1	0.225279
110	1	0.363494
111	1	0.065568
112	1	0.392031
113	1	0.152408
114	1	0.103321
115	1	0.500573
116	1	0.209030
117	1	0.322977
118	1	0.071518
119	1	0.347813
120	1	0.036686
121	1	0.048371
122	1	0.172524
123	1	0.146836
124	1	0.168018
125	1	0.356177
126	1	0.188561
127	1	0.042812
128	1	0.099634
129	1	0.230445
130	1	0.478872
131	1	0.147940
132	1	0.082482
133	1	0.033472
134	1	0.306739
135	1	0.032230
136	1	0.304470
137	1	0.033696
138	1	0.405557
139	1	0.601424
140	1	0.260728
141	1	0.269958
142	1	0.057589
143	1	0.053569
144	1	0.386821
145	1	0.572774
146	1	0.064376
147	1	0.398726
148	1	0.079243
149	1	0.397198
150	1	0.037439
151	1	0.195110
152	1	0.033431
153	1	0.027633
154	1	0.445228
155	1	0.041342
156	1	0.370255
157	1	0.109600
158	1	0.203032
159	1	0.021623
160	1	0.074599
161	1	0.496471
162	1	0.349476
163	1	0.108821
164	1	0.309681
165	1	0.213263
166	1	0.083229
167	1	0.200642
168	1	0.133515
169	1	0.305533
170	1	0.030664
171	1	0.165909
172	1	0.256912
173	1	0.109165
174	1	0.105116
175	1	0.410722
176	1	0.480851
177	1	0.286809
178	1	0.144663
179	1	0.110635
