节点	端口	平均利用率
0	1	0.073117
0	2	0.044031
0	3	0.036329
0	4	0.060175
0	5	0.009469
0	6	0.027462
0	7	0.009749
0	8	0.005937
0	9	0.062329
1	1	0.071047
1	2	0.059413
1	3	0.040748
1	4	0.091982
1	5	0.037588
1	6	0.023296
1	7	0.004258
1	8	0.024171
1	9	0.042790
2	1	0.152346
2	2	0.009203
2	3	0.072116
2	4	0.012727
2	5	0.033200
2	6	0.045860
2	7	0.030373
2	8	0.044238
2	9	0.027044
3	1	0.061450
3	2	0.055375
3	3	0.031923
3	4	0.035866
3	5	0.042451
3	6	0.015677
3	7	0.033774
3	8	0.033930
3	9	0.037300
4	1	0.066072
4	2	0.159952
4	3	0.008027
4	4	0.084827
4	5	0.056008
4	6	0.031586
4	7	0.055980
4	8	0.039404
4	9	0.019333
5	1	0.036626
5	2	0.039393
5	3	0.049383
5	4	0.068171
5	5	0.065805
5	6	0.060716
5	7	0.025235
5	8	0.017896
5	9	0.030522
6	1	0.145695
6	2	0.123634
6	3	0.032746
6	4	0.034841
6	5	0.023410
6	6	0.051259
6	7	0.030641
6	8	0.012386
6	9	0.046316
7	1	0.062602
7	2	0.054306
7	3	0.143521
7	4	0.060797
7	5	0.082004
7	6	0.030018
7	7	0.011351
7	8	0.047785
7	9	0.064649
8	1	0.100267
8	2	0.049944
8	3	0.032925
8	4	0.074185
8	5	0.052173
8	6	0.025852
8	7	0.009224
8	8	0.025713
8	9	0.013046
9	1	0.072933
9	2	0.099854
9	3	0.007349
9	4	0.028371
9	5	0.080106
9	6	0.032525
9	7	0.048872
9	8	0.022769
9	9	0.040275
10	1	0.034318
10	2	0.056952
10	3	0.041258
10	4	0.101526
10	5	0.023562
10	6	0.035087
10	7	0.025092
10	8	0.040709
10	9	0.047274
11	1	0.017200
11	2	0.019199
11	3	0.084131
11	4	0.075685
11	5	0.043519
11	6	0.069039
11	7	0.026064
11	8	0.032768
11	9	0.044655
12	1	0.075877
12	2	0.057954
12	3	0.041545
12	4	0.035805
12	5	0.037015
12	6	0.071148
12	7	0.012349
12	8	0.017103
12	9	0.027042
13	1	0.055295
13	2	0.108565
13	3	0.073264
13	4	0.050343
13	5	0.069436
13	6	0.089232
13	7	0.016814
13	8	0.106672
13	9	0.051764
14	1	0.085334
14	2	0.077814
14	3	0.018241
14	4	0.037378
14	5	0.065914
14	6	0.005592
14	7	0.049823
14	8	0.017735
14	9	0.003144
15	1	0.080061
15	2	0.038733
15	3	0.030581
15	4	0.127643
15	5	0.093151
15	6	0.037499
15	7	0.040102
15	8	0.005040
15	9	0.047007
16	1	0.045938
16	2	0.085579
16	3	0.046239
16	4	0.007163
16	5	0.032313
16	6	0.013736
16	7	0.016350
16	8	0.009242
16	9	0.021969
17	1	0.094736
17	2	0.114543
17	3	0.038464
17	4	0.059415
17	5	0.047190
17	6	0.034956
17	7	0.033790
17	8	0.008507
17	9	0.003817
18	1	0.103719
18	2	0.076070
18	3	0.031578
18	4	0.027525
18	5	0.031983
18	6	0.039831
18	7	0.019604
18	8	0.052194
18	9	0.013427
19	1	0.137815
19	2	0.028718
19	3	0.023511
19	4	0.038839
19	5	0.114298
19	6	0.007556
19	7	0.018381
19	8	0.004142
19	9	0.022165
20	1	0.094654
20	2	0.033798
20	3	0.030031
20	4	0.080881
20	5	0.032380
20	6	0.030671
20	7	0.072438
20	8	0.053998
20	9	0.038786
21	1	0.060736
21	2	0.055946
21	3	0.081307
21	4	0.039167
21	5	0.043577
21	6	0.003614
21	7	0.062198
21	8	0.015282
21	9	0.027542
22	1	0.092907
22	2	0.087047
22	3	0.059796
22	4	0.008211
22	5	0.025683
22	6	0.040347
22	7	0.049871
22	8	0.015576
22	9	0.021612
23	1	0.080675
23	2	0.034145
23	3	0.036415
23	4	0.033105
23	5	0.063997
23	6	0.025877
23	7	0.012959
23	8	0.039270
23	9	0.011814
24	1	0.098074
24	2	0.071381
24	3	0.090642
24	4	0.084283
24	5	0.008519
24	6	0.035311
24	7	0.010809
24	8	0.010986
24	9	0.016965
25	1	0.076424
25	2	0.090490
25	3	0.024486
25	4	0.124587
25	5	0.098098
25	6	0.008361
25	7	0.016722
25	8	0.045899
25	9	0.054793
26	1	0.047485
26	2	0.153204
26	3	0.034193
26	4	0.028726
26	5	0.018981
26	6	0.028383
26	7	0.065714
26	8	0.086350
26	9	0.052260
27	1	0.014986
27	2	0.091702
27	3	0.134162
27	4	0.076681
27	5	0.060661
27	6	0.036251
27	7	0.029285
27	8	0.037636
27	9	0.023806
28	1	0.084534
28	2	0.034917
28	3	0.040448
28	4	0.023342
28	5	0.057316
28	6	0.028625
28	7	0.028141
28	8	0.044969
28	9	0.005839
29	1	0.067131
29	2	0.091447
29	3	0.024774
29	4	0.030319
29	5	0.035428
29	6	0.035638
29	7	0.013717
29	8	0.027468
29	9	0.023556
30	1	0.073046
30	2	0.050294
30	3	0.042803
30	4	0.040944
30	5	0.046052
30	6	0.072281
30	7	0.070054
30	8	0.020017
30	9	0.004276
31	1	0.064714
31	2	0.110756
31	3	0.045318
31	4	0.032902
31	5	0.063704
31	6	0.042747
31	7	0.014642
31	8	0.005687
31	9	0.034075
32	1	0.037110
32	2	0.114516
32	3	0.042002
32	4	0.036172
32	5	0.036550
32	6	0.027126
32	7	0.029043
32	8	0.005426
32	9	0.004790
33	1	0.028416
33	2	0.022904
33	3	0.027033
33	4	0.034575
33	5	0.022200
33	6	0.079222
33	7	0.051267
33	8	0.036366
33	9	0.089070
34	1	0.089230
34	2	0.107178
34	3	0.030313
34	4	0.075274
34	5	0.012130
34	6	0.017456
34	7	0.014599
34	8	0.011476
34	9	0.021718
35	1	0.059477
35	2	0.074323
35	3	0.053592
35	4	0.051009
35	5	0.015570
35	6	0.022725
35	7	0.005294
35	8	0.017519
35	9	0.020746
36	1	0.042259
37	1	0.002443
38	1	0.027108
39	1	0.032191
40	1	0.036326
41	1	0.015698
42	1	0.013877
43	1	0.055733
44	1	0.020174
45	1	0.035834
46	1	0.015658
47	1	0.024756
48	1	0.038376
49	1	0.063753
50	1	0.005422
51	1	0.037928
52	1	0.036289
53	1	0.069619
54	1	0.069316
55	1	0.021592
56	1	0.013925
57	1	0.069835
58	1	0.011284
59	1	0.025721
60	1	0.037393
61	1	0.022286
62	1	0.041756
63	1	0.007687
64	1	0.090569
65	1	0.016338
66	1	0.066232
67	1	0.051514
68	1	0.003715
69	1	0.005903
70	1	0.004403
71	1	0.058870
72	1	0.033583
73	1	0.045374
74	1	0.004332
75	1	0.004972
76	1	0.042126
77	1	0.023522
78	1	0.052575
79	1	0.021472
80	1	0.042379
81	1	0.009456
82	1	0.049623
83	1	0.044970
84	1	0.057101
85	1	0.003498
86	1	0.026064
87	1	0.057744
88	1	0.029886
89	1	0.035673
90	1	0.106197
91	1	0.016243
92	1	0.015895
93	1	0.044387
94	1	0.023047
95	1	0.004417
96	1	0.025861
97	1	0.010972
98	1	0.015434
99	1	0.014470
100	1	0.020540
101	1	0.035066
102	1	0.036175
103	1	0.044731
104	1	0.014761
105	1	0.091830
106	1	0.050056
107	1	0.026926
108	1	0.027111
109	1	0.031530
110	1	0.051007
111	1	0.008952
112	1	0.054459
113	1	0.021223
114	1	0.014476
115	1	0.069961
116	1	0.029207
117	1	0.045400
118	1	0.010352
119	1	0.048625
120	1	0.004748
121	1	0.007220
122	1	0.024065
123	1	0.020695
124	1	0.023604
125	1	0.049956
126	1	0.026155
127	1	0.005303
128	1	0.013917
129	1	0.031893
130	1	0.066669
131	1	0.020539
132	1	0.011534
133	1	0.004587
134	1	0.042854
135	1	0.004625
136	1	0.042741
137	1	0.004771
138	1	0.056990
139	1	0.083839
140	1	0.036596
141	1	0.038038
142	1	0.008659
143	1	0.007546
144	1	0.054325
145	1	0.079930
146	1	0.009267
147	1	0.055938
148	1	0.011228
149	1	0.055549
150	1	0.005266
151	1	0.027355
152	1	0.004922
153	1	0.003695
154	1	0.061841
155	1	0.005699
156	1	0.052071
157	1	0.015748
158	1	0.028252
159	1	0.002848
160	1	0.010550
161	1	0.069186
162	1	0.048769
163	1	0.015360
164	1	0.043382
165	1	0.030093
166	1	0.011741
167	1	0.028033
168	1	0.018909
169	1	0.040911
170	1	0.004494
171	1	0.023668
172	1	0.035770
173	1	0.015277
174	1	0.014746
175	1	0.057119
176	1	0.067313
177	1	0.039916
178	1	0.020304
179	1	0.015474
