节点	端口	平均利用率
0	1	0.104380
0	2	0.083364
0	3	0.058892
0	4	0.089097
0	5	0.009509
0	6	0.031763
0	7	0.011321
0	8	0.006955
0	9	0.071938
1	1	0.083473
1	2	0.086955
1	3	0.046367
1	4	0.077987
1	5	0.062032
1	6	0.026845
1	7	0.004985
1	8	0.027752
1	9	0.049302
2	1	0.143164
2	2	0.041707
2	3	0.058579
2	4	0.012289
2	5	0.053527
2	6	0.052966
2	7	0.034680
2	8	0.050883
2	9	0.031338
3	1	0.065571
3	2	0.036527
3	3	0.084102
3	4	0.042336
3	5	0.077486
3	6	0.018117
3	7	0.038828
3	8	0.038963
3	9	0.043076
4	1	0.068210
4	2	0.169353
4	3	0.025968
4	4	0.107546
4	5	0.093545
4	6	0.036260
4	7	0.064494
4	8	0.045456
4	9	0.022017
5	1	0.045820
5	2	0.059698
5	3	0.071670
5	4	0.050600
5	5	0.076624
5	6	0.070002
5	7	0.029118
5	8	0.020710
5	9	0.035254
6	1	0.179374
6	2	0.145548
6	3	0.038590
6	4	0.049994
6	5	0.021336
6	6	0.059061
6	7	0.035468
6	8	0.014289
6	9	0.053366
7	1	0.113696
7	2	0.073527
7	3	0.137509
7	4	0.083815
7	5	0.094290
7	6	0.034603
7	7	0.013121
7	8	0.055153
7	9	0.074500
8	1	0.060162
8	2	0.056481
8	3	0.038267
8	4	0.070770
8	5	0.052596
8	6	0.029558
8	7	0.010486
8	8	0.029746
8	9	0.014997
9	1	0.054313
9	2	0.100619
9	3	0.009467
9	4	0.032583
9	5	0.092499
9	6	0.037571
9	7	0.056352
9	8	0.026127
9	9	0.046501
10	1	0.054196
10	2	0.089117
10	3	0.048370
10	4	0.088065
10	5	0.039734
10	6	0.040489
10	7	0.028931
10	8	0.046910
10	9	0.054535
11	1	0.044822
11	2	0.060035
11	3	0.048830
11	4	0.060933
11	5	0.091684
11	6	0.079493
11	7	0.030189
11	8	0.037876
11	9	0.051426
12	1	0.062338
12	2	0.050131
12	3	0.051280
12	4	0.055245
12	5	0.061054
12	6	0.081977
12	7	0.014291
12	8	0.019651
12	9	0.031141
13	1	0.076529
13	2	0.076780
13	3	0.085469
13	4	0.055952
13	5	0.079982
13	6	0.102714
13	7	0.019333
13	8	0.122954
13	9	0.059680
14	1	0.093033
14	2	0.084378
14	3	0.021830
14	4	0.040333
14	5	0.075185
14	6	0.006434
14	7	0.057389
14	8	0.020521
14	9	0.003648
15	1	0.099048
15	2	0.055452
15	3	0.042094
15	4	0.130267
15	5	0.046833
15	6	0.043175
15	7	0.046180
15	8	0.005827
15	9	0.054205
16	1	0.126250
16	2	0.037559
16	3	0.102964
16	4	0.008063
16	5	0.036793
16	6	0.015860
16	7	0.018782
16	8	0.010635
16	9	0.025281
17	1	0.134889
17	2	0.117349
17	3	0.047779
17	4	0.045118
17	5	0.052575
17	6	0.040233
17	7	0.038995
17	8	0.009804
17	9	0.004338
18	1	0.118926
18	2	0.074251
18	3	0.036538
18	4	0.017318
18	5	0.045795
18	6	0.045686
18	7	0.022659
18	8	0.060238
18	9	0.015451
19	1	0.116293
19	2	0.056940
19	3	0.044557
19	4	0.045061
19	5	0.113950
19	6	0.008723
19	7	0.021186
19	8	0.004767
19	9	0.025515
20	1	0.085597
20	2	0.098481
20	3	0.034482
20	4	0.086367
20	5	0.009443
20	6	0.035411
20	7	0.083370
20	8	0.062246
20	9	0.044500
21	1	0.043025
21	2	0.059483
21	3	0.086185
21	4	0.045696
21	5	0.024759
21	6	0.004168
21	7	0.071437
21	8	0.017695
21	9	0.031815
22	1	0.085654
22	2	0.112848
22	3	0.067337
22	4	0.008899
22	5	0.024020
22	6	0.046622
22	7	0.057476
22	8	0.017920
22	9	0.025043
23	1	0.054851
23	2	0.022721
23	3	0.089635
23	4	0.038237
23	5	0.078981
23	6	0.029842
23	7	0.014932
23	8	0.045409
23	9	0.013620
24	1	0.072661
24	2	0.062429
24	3	0.078626
24	4	0.075799
24	5	0.017633
24	6	0.040675
24	7	0.012402
24	8	0.012664
24	9	0.019278
25	1	0.080758
25	2	0.115360
25	3	0.042949
25	4	0.137968
25	5	0.145127
25	6	0.009705
25	7	0.019149
25	8	0.052719
25	9	0.062984
26	1	0.053874
26	2	0.113486
26	3	0.039397
26	4	0.053442
26	5	0.019931
26	6	0.032706
26	7	0.075896
26	8	0.099581
26	9	0.060383
27	1	0.074496
27	2	0.088080
27	3	0.077426
27	4	0.096431
27	5	0.052875
27	6	0.041684
27	7	0.033906
27	8	0.043553
27	9	0.027442
28	1	0.086920
28	2	0.055583
28	3	0.029272
28	4	0.074734
28	5	0.031027
28	6	0.032930
28	7	0.032391
28	8	0.051815
28	9	0.006682
29	1	0.104631
29	2	0.099355
29	3	0.028880
29	4	0.056646
29	5	0.035202
29	6	0.040860
29	7	0.015712
29	8	0.031593
29	9	0.027129
30	1	0.126781
30	2	0.038226
30	3	0.050395
30	4	0.085755
30	5	0.064105
30	6	0.083260
30	7	0.080853
30	8	0.022848
30	9	0.004885
31	1	0.054948
31	2	0.110229
31	3	0.053359
31	4	0.036568
31	5	0.100366
31	6	0.049167
31	7	0.016874
31	8	0.006558
31	9	0.039179
32	1	0.065133
32	2	0.125485
32	3	0.074012
32	4	0.054280
32	5	0.032992
32	6	0.031240
32	7	0.033514
32	8	0.006256
32	9	0.005539
33	1	0.034870
33	2	0.060175
33	3	0.034209
33	4	0.018028
33	5	0.045905
33	6	0.091153
33	7	0.059194
33	8	0.041956
33	9	0.102637
34	1	0.076136
34	2	0.092938
34	3	0.058125
34	4	0.079679
34	5	0.024971
34	6	0.020136
34	7	0.016792
34	8	0.013229
34	9	0.025012
35	1	0.048835
35	2	0.089146
35	3	0.096767
35	4	0.059333
35	5	0.016163
35	6	0.026241
35	7	0.006112
35	8	0.020108
35	9	0.023673
36	1	0.048509
37	1	0.002849
38	1	0.031409
39	1	0.037182
40	1	0.041654
41	1	0.018028
42	1	0.015931
43	1	0.064041
44	1	0.023211
45	1	0.041247
46	1	0.018060
47	1	0.028582
48	1	0.044224
49	1	0.073554
50	1	0.006256
51	1	0.043690
52	1	0.041934
53	1	0.080207
54	1	0.079876
55	1	0.024703
56	1	0.016049
57	1	0.080424
58	1	0.013117
59	1	0.029756
60	1	0.043084
61	1	0.025839
62	1	0.048184
63	1	0.008863
64	1	0.104121
65	1	0.018889
66	1	0.076426
67	1	0.059553
68	1	0.004213
69	1	0.006816
70	1	0.005098
71	1	0.067798
72	1	0.038751
73	1	0.052311
74	1	0.004976
75	1	0.005810
76	1	0.048386
77	1	0.026996
78	1	0.060523
79	1	0.024654
80	1	0.048798
81	1	0.010892
82	1	0.057197
83	1	0.051848
84	1	0.065804
85	1	0.004005
86	1	0.030020
87	1	0.066447
88	1	0.034456
89	1	0.041216
90	1	0.122218
91	1	0.018755
92	1	0.018393
93	1	0.051163
94	1	0.026579
95	1	0.005111
96	1	0.029653
97	1	0.012661
98	1	0.017787
99	1	0.016727
100	1	0.023722
101	1	0.040137
102	1	0.041795
103	1	0.051552
104	1	0.017089
105	1	0.105862
106	1	0.057717
107	1	0.030835
108	1	0.031131
109	1	0.036194
110	1	0.058743
111	1	0.010405
112	1	0.062666
113	1	0.024539
114	1	0.016703
115	1	0.080436
116	1	0.033717
117	1	0.052178
118	1	0.011944
119	1	0.056225
120	1	0.005496
121	1	0.008305
122	1	0.027710
123	1	0.023801
124	1	0.027140
125	1	0.057636
126	1	0.030038
127	1	0.006100
128	1	0.015860
129	1	0.036832
130	1	0.076871
131	1	0.023709
132	1	0.013359
133	1	0.005314
134	1	0.049314
135	1	0.005280
136	1	0.049353
137	1	0.005495
138	1	0.065633
139	1	0.096691
140	1	0.041952
141	1	0.043758
142	1	0.009972
143	1	0.008668
144	1	0.062410
145	1	0.092141
146	1	0.010682
147	1	0.064347
148	1	0.012976
149	1	0.063895
150	1	0.006050
151	1	0.031229
152	1	0.005667
153	1	0.004293
154	1	0.071243
155	1	0.006554
156	1	0.059964
157	1	0.018151
158	1	0.032595
159	1	0.003310
160	1	0.012151
161	1	0.079713
162	1	0.056269
163	1	0.017848
164	1	0.050098
165	1	0.034554
166	1	0.013569
167	1	0.032225
168	1	0.021739
169	1	0.047004
170	1	0.005197
171	1	0.027316
172	1	0.041341
173	1	0.017554
174	1	0.017021
175	1	0.065796
176	1	0.077523
177	1	0.046129
178	1	0.023364
179	1	0.017827
