节点	端口	平均利用率
0	1	0.292803
0	2	0.176136
0	3	0.145179
0	4	0.240319
0	5	0.037735
0	6	0.110310
0	7	0.038533
0	8	0.023746
0	9	0.249109
1	1	0.284654
1	2	0.238214
1	3	0.163050
1	4	0.367040
1	5	0.150002
1	6	0.092942
1	7	0.017018
1	8	0.096028
1	9	0.171173
2	1	0.609738
2	2	0.036951
2	3	0.288727
2	4	0.050966
2	5	0.132903
2	6	0.183527
2	7	0.120336
2	8	0.176035
2	9	0.107847
3	1	0.246227
3	2	0.221851
3	3	0.127888
3	4	0.143297
3	5	0.168754
3	6	0.062511
3	7	0.134594
3	8	0.134817
3	9	0.149131
4	1	0.264115
4	2	0.640359
4	3	0.031971
4	4	0.339115
4	5	0.224417
4	6	0.125177
4	7	0.224035
4	8	0.157412
4	9	0.076010
5	1	0.146836
5	2	0.157722
5	3	0.196240
5	4	0.272887
5	5	0.263480
5	6	0.242196
5	7	0.100922
5	8	0.071287
5	9	0.122029
6	1	0.583472
6	2	0.495106
6	3	0.131181
6	4	0.139494
6	5	0.093820
6	6	0.204815
6	7	0.122448
6	8	0.049787
6	9	0.184534
7	1	0.250791
7	2	0.217679
7	3	0.574418
7	4	0.243742
7	5	0.327609
7	6	0.120010
7	7	0.045441
7	8	0.191443
7	9	0.258366
8	1	0.400755
8	2	0.200278
8	3	0.130555
8	4	0.296298
8	5	0.208048
8	6	0.102223
8	7	0.036431
8	8	0.102996
8	9	0.052103
9	1	0.292338
9	2	0.399506
9	3	0.029382
9	4	0.113611
9	5	0.320971
9	6	0.130001
9	7	0.194962
9	8	0.090483
9	9	0.160476
10	1	0.136821
10	2	0.227709
10	3	0.164893
10	4	0.406235
10	5	0.094352
10	6	0.140008
10	7	0.099550
10	8	0.162409
10	9	0.188444
11	1	0.069022
11	2	0.076844
11	3	0.337041
11	4	0.303154
11	5	0.173490
11	6	0.275605
11	7	0.104187
11	8	0.131044
11	9	0.178701
12	1	0.303266
12	2	0.232220
12	3	0.166128
12	4	0.142443
12	5	0.148414
12	6	0.284145
12	7	0.049008
12	8	0.068293
12	9	0.107907
13	1	0.221594
13	2	0.434739
13	3	0.292746
13	4	0.200515
13	5	0.278158
13	6	0.356238
13	7	0.066680
13	8	0.426871
13	9	0.206469
14	1	0.341649
14	2	0.310568
14	3	0.072764
14	4	0.149614
14	5	0.263226
14	6	0.022253
14	7	0.199291
14	8	0.070686
14	9	0.012550
15	1	0.321070
15	2	0.155270
15	3	0.121404
15	4	0.510258
15	5	0.372735
15	6	0.149042
15	7	0.159636
15	8	0.020164
15	9	0.187859
16	1	0.184247
16	2	0.342176
16	3	0.184407
16	4	0.028579
16	5	0.128272
16	6	0.054747
16	7	0.065248
16	8	0.036828
16	9	0.087756
17	1	0.379021
17	2	0.458530
17	3	0.153761
