节点	端口	平均利用率
0	1	0.317362
0	2	0.319637
0	3	0.215219
0	4	0.412308
0	5	0.817701
0	6	0.312625
0	7	0.305877
0	8	0.585084
1	1	0.310698
1	2	0.486790
1	3	0.259875
1	4	0.249671
1	5	0.517073
1	6	0.553040
1	7	0.223378
1	8	0.369712
2	1	0.346654
2	2	0.318763
2	3	0.391099
2	4	0.265334
2	5	0.416120
2	6	0.225095
2	7	0.315009
2	8	0.518259
3	1	0.259881
3	2	0.419025
3	3	0.276596
3	4	0.304666
3	5	0.405083
3	6	0.364391
3	7	0.287511
3	8	0.412189
4	1	0.321281
4	2	0.465105
4	3	0.500476
4	4	0.323969
4	5	0.420240
4	6	0.247117
4	7	0.300874
4	8	0.373251
5	1	0.286183
5	2	0.490348
5	3	0.304205
5	4	0.322930
5	5	0.496634
5	6	0.531092
5	7	0.270230
5	8	0.262656
6	1	0.221350
6	2	0.525201
6	3	0.373420
6	4	0.242626
6	5	0.399951
6	6	0.413968
6	7	0.310043
6	8	0.442803
7	1	0.336775
7	2	0.388949
7	3	0.274229
7	4	0.270250
7	5	0.531685
7	6	0.257438
7	7	0.382732
7	8	0.460582
8	1	0.449755
8	2	0.463831
8	3	0.029176
9	1	0.230498
9	2	0.462890
9	3	0.208942
10	1	0.294352
10	2	0.492777
10	3	0.096187
11	1	0.229905
11	2	0.600831
11	3	0.194517
12	1	0.203855
12	2	0.485624
12	3	0.246792
13	1	0.284515
13	2	0.564066
13	3	0.248908
14	1	0.322073
14	2	0.591210
14	3	0.146631
15	1	0.276994
15	2	0.509914
15	3	0.205889
16	1	0.307148
16	2	0.477048
16	3	0.062655
17	1	0.255874
17	2	0.615178
17	3	0.247020
18	1	0.332843
18	2	0.641336
18	3	0.178299
19	1	0.278556
19	2	0.596555
19	3	0.265641
20	1	0.208196
20	2	0.632173
20	3	0.364546
21	1	0.355693
21	2	0.682495
21	3	0.102756
22	1	0.182432
22	2	0.433014
22	3	0.403079
23	1	0.352902
23	2	0.603158
23	3	0.223176
24	1	0.698226
24	2	0.800597
24	3	0.291624
25	1	0.478004
25	2	0.653500
25	3	0.137001
26	1	0.354515
26	2	0.478957
26	3	0.246308
27	1	0.505617
27	2	0.663251
27	3	0.035018
28	1	0.399920
28	2	0.560982
28	3	0.195441
29	1	0.412637
29	2	0.627712
29	3	0.115151
30	1	0.394055
30	2	0.642035
30	3	0.343482
31	1	0.471789
31	2	0.538499
31	3	0.116252
32	1	0.406813
32	2	0.464596
32	3	0.023429
33	1	0.416533
33	2	0.658689
33	3	0.095570
34	1	0.236609
34	2	0.340087
34	3	0.325641
35	1	0.261499
35	2	0.550409
35	3	0.269456
36	1	0.326466
36	2	0.620173
36	3	0.144208
37	1	0.329773
37	2	0.529347
37	3	0.127495
38	1	0.348297
38	2	0.683091
38	3	0.217735
39	1	0.302062
39	2	0.298250
39	3	0.056480
40	1	0.167325
40	2	0.662567
40	3	0.758303
41	1	0.440722
41	2	0.596359
41	3	0.162019
42	1	0.584120
42	2	0.794965
42	3	0.200535
43	1	0.508888
43	2	0.697645
43	3	0.233382
44	1	0.585898
44	2	0.727813
44	3	0.108343
45	1	0.375263
45	2	0.695142
45	3	0.271344
46	1	0.565556
46	2	0.666167
46	3	0.177179
47	1	0.385065
47	2	0.617745
47	3	0.252023
48	1	0.444306
48	2	0.651863
48	3	0.377431
49	1	0.221282
49	2	0.740663
49	3	0.422567
50	1	0.445765
50	2	0.727286
50	3	0.142952
51	1	0.266970
51	2	0.707005
51	3	0.341456
52	1	0.488814
52	2	0.809724
52	3	0.281517
53	1	0.268597
53	2	0.473586
53	3	0.257178
54	1	0.407630
54	2	0.514149
54	3	0.116340
55	1	0.440360
55	2	0.727949
55	3	0.183101
56	1	0.336668
56	2	0.512938
56	3	0.086339
57	1	0.445783
57	2	0.870482
57	3	0.252645
58	1	0.238310
58	2	0.302823
58	3	0.194339
59	1	0.264639
59	2	0.479383
59	3	0.326834
60	1	0.269210
60	2	0.514985
60	3	0.158092
61	1	0.280654
61	2	0.552106
61	3	0.099408
62	1	0.256307
62	2	0.318011
62	3	0.157263
63	1	0.299851
63	2	0.495379
63	3	0.148877
64	1	0.475948
64	2	0.489220
64	3	0.215815
65	1	0.481586
65	2	0.768677
65	3	0.190000
66	1	0.309921
66	2	0.435643
66	3	0.285577
67	1	0.413042
67	2	0.595696
67	3	0.068656
68	1	0.469804
68	2	0.719268
68	3	0.188135
69	1	0.657244
69	2	0.870600
69	3	0.267676
70	1	0.453078
70	2	0.572140
70	3	0.168148
71	1	0.374009
71	2	0.679400
71	3	0.402692
72	1	0.371779
72	2	0.560339
72	3	0.427129
72	4	0.511966
72	5	0.615970
72	6	0.598297
72	7	0.493811
72	8	0.591348
73	1	0.383043
73	2	0.572606
73	3	0.521750
73	4	0.654947
73	5	0.664789
73	6	0.529563
73	7	0.733289
73	8	0.619818
74	1	0.715547
74	2	0.562276
74	3	0.681649
74	4	0.490602
74	5	0.630590
74	6	0.522347
74	7	0.736203
74	8	0.626568
75	1	0.439696
75	2	0.373555
75	3	0.772654
75	4	0.623110
75	5	0.430741
75	6	0.504568
75	7	0.609223
75	8	0.391706
76	1	0.993395
76	2	0.620597
76	3	0.632772
76	4	0.677056
76	5	0.567731
76	6	0.661680
76	7	0.654774
76	8	0.647739
77	1	0.855040
77	2	0.688113
77	3	0.583161
77	4	0.773599
77	5	0.661861
77	6	0.653686
77	7	0.534607
77	8	0.602846
78	1	0.410615
78	2	0.537349
78	3	0.543375
78	4	0.757381
78	5	0.498548
78	6	0.372538
78	7	0.497513
78	8	0.430465
79	1	0.728781
79	2	0.557829
79	3	0.715823
79	4	0.466268
79	5	0.631439
79	6	0.632367
