节点	端口	平均利用率
0	1	0.332855
0	2	0.320360
0	3	0.301810
0	4	0.430012
0	5	0.814735
0	6	0.268184
0	7	0.237922
0	8	0.587434
1	1	0.319794
1	2	0.519578
1	3	0.234157
1	4	0.214633
1	5	0.492043
1	6	0.528924
1	7	0.256390
1	8	0.410794
2	1	0.279314
2	2	0.284026
2	3	0.377823
2	4	0.266026
2	5	0.423294
2	6	0.232197
2	7	0.362189
2	8	0.484653
3	1	0.287907
3	2	0.443344
3	3	0.232779
3	4	0.349736
3	5	0.408417
3	6	0.429298
3	7	0.341036
3	8	0.315500
4	1	0.261019
4	2	0.415921
4	3	0.490124
4	4	0.334559
4	5	0.414155
4	6	0.282047
4	7	0.284688
4	8	0.449324
5	1	0.364531
5	2	0.468574
5	3	0.238637
5	4	0.319837
5	5	0.499094
5	6	0.500700
5	7	0.236349
5	8	0.337573
6	1	0.245324
6	2	0.576074
6	3	0.434972
6	4	0.250816
6	5	0.423649
6	6	0.399215
6	7	0.316743
6	8	0.402165
7	1	0.315719
7	2	0.395099
7	3	0.291604
7	4	0.232889
7	5	0.540733
7	6	0.271654
7	7	0.366080
7	8	0.446399
8	1	0.401643
8	2	0.444570
8	3	0.029310
9	1	0.225376
9	2	0.406303
9	3	0.209823
10	1	0.310894
10	2	0.373380
10	3	0.096464
11	1	0.234457
11	2	0.548716
11	3	0.195044
12	1	0.231269
12	2	0.370402
12	3	0.247964
13	1	0.337871
13	2	0.523855
13	3	0.249894
14	1	0.289718
14	2	0.527275
14	3	0.147013
15	1	0.266082
15	2	0.393292
15	3	0.206429
16	1	0.238870
16	2	0.447421
16	3	0.063379
17	1	0.225633
17	2	0.588626
17	3	0.248044
18	1	0.337803
18	2	0.507566
18	3	0.178724
19	1	0.291252
19	2	0.474465
19	3	0.266443
20	1	0.232489
20	2	0.468575
20	3	0.365502
21	1	0.368123
21	2	0.625759
21	3	0.103155
22	1	0.246456
22	2	0.375293
22	3	0.404203
23	1	0.339018
23	2	0.484339
23	3	0.223614
24	1	0.726911
24	2	0.750443
24	3	0.292520
25	1	0.489123
25	2	0.533373
25	3	0.137398
26	1	0.397471
26	2	0.395617
26	3	0.246976
27	1	0.502940
27	2	0.577464
27	3	0.035206
28	1	0.357598
28	2	0.504073
28	3	0.196301
29	1	0.413889
29	2	0.491317
29	3	0.115464
30	1	0.408827
30	2	0.555100
30	3	0.344419
31	1	0.428401
31	2	0.486095
31	3	0.116599
32	1	0.374179
32	2	0.469591
32	3	0.023524
33	1	0.432875
33	2	0.497606
33	3	0.095841
34	1	0.228143
34	2	0.272454
34	3	0.326604
35	1	0.295545
35	2	0.455452
35	3	0.270152
36	1	0.361807
36	2	0.490790
36	3	0.144698
37	1	0.309368
37	2	0.463522
37	3	0.127699
38	1	0.374348
38	2	0.544423
38	3	0.218191
39	1	0.257233
39	2	0.241698
39	3	0.056776
40	1	0.256215
40	2	0.545430
40	3	0.760417
41	1	0.414714
41	2	0.520277
41	3	0.162584
42	1	0.538545
