节点	端口	平均利用率
0	1	0.044551
0	2	0.012836
0	3	0.103973
0	4	0.063859
0	5	0.142105
0	6	0.046269
0	7	0.017546
0	8	0.094880
1	1	0.041694
1	2	0.148560
1	3	0.044636
1	4	0.019142
1	5	0.065545
1	6	0.079473
1	7	0.040561
1	8	0.047749
2	1	0.050528
2	2	0.023140
2	3	0.054968
2	4	0.044730
2	5	0.081672
2	6	0.035366
2	7	0.048393
2	8	0.082982
3	1	0.050102
3	2	0.072801
3	3	0.040095
3	4	0.035666
3	5	0.064269
3	6	0.087926
3	7	0.043922
3	8	0.043225
4	1	0.031240
4	2	0.040200
4	3	0.064488
4	4	0.084873
4	5	0.063452
4	6	0.067447
4	7	0.067372
4	8	0.060807
5	1	0.092106
5	2	0.064538
5	3	0.022148
5	4	0.054552
5	5	0.054866
5	6	0.072220
5	7	0.041827
5	8	0.091956
6	1	0.008981
6	2	0.088948
6	3	0.041036
6	4	0.055048
6	5	0.086106
6	6	0.032729
6	7	0.027672
6	8	0.055591
7	1	0.056523
7	2	0.080959
7	3	0.036040
7	4	0.016793
7	5	0.067266
7	6	0.033069
7	7	0.087523
7	8	0.058519
8	1	0.042570
8	2	0.049757
8	3	0.004705
9	1	0.064943
9	2	0.012706
9	3	0.032661
10	1	0.074559
10	2	0.048422
10	3	0.015094
11	1	0.033636
11	2	0.073513
11	3	0.030392
12	1	0.065377
12	2	0.007841
12	3	0.038426
13	1	0.037563
13	2	0.077765
13	3	0.038792
14	1	0.032565
14	2	0.050046
14	3	0.022997
15	1	0.007399
15	2	0.061326
15	3	0.032061
16	1	0.024783
16	2	0.024703
16	3	0.009828
17	1	0.021896
17	2	0.117228
17	3	0.038493
18	1	0.023423
18	2	0.059779
18	3	0.027862
19	1	0.058925
19	2	0.040068
19	3	0.041382
20	1	0.031496
20	2	0.043764
20	3	0.056789
21	1	0.086135
21	2	0.064482
21	3	0.016182
22	1	0.047320
22	2	0.014833
22	3	0.062667
23	1	0.063379
23	2	0.051353
23	3	0.034802
24	1	0.164724
24	2	0.118280
24	3	0.045789
25	1	0.106639
25	2	0.070156
25	3	0.021500
26	1	0.049443
26	2	0.039538
26	3	0.038280
27	1	0.050068
27	2	0.103167
27	3	0.005727
28	1	0.034770
28	2	0.068918
28	3	0.030447
29	1	0.084359
29	2	0.037693
29	3	0.018159
30	1	0.032346
30	2	0.083745
30	3	0.053504
31	1	0.056560
31	2	0.032491
31	3	0.018307
32	1	0.038884
32	2	0.064318
32	3	0.003707
33	1	0.061115
33	2	0.048602
33	3	0.015153
34	1	0.036557
34	2	0.009163
34	3	0.050665
35	1	0.030715
35	2	0.065771
35	3	0.041986
36	1	0.068214
36	2	0.086451
36	3	0.022611
37	1	0.075332
37	2	0.025027
37	3	0.019985
38	1	0.081118
38	2	0.032877
38	3	0.034043
39	1	0.018877
39	2	0.007800
39	3	0.008856
40	1	0.078734
40	2	0.035648
40	3	0.117570
41	1	0.050931
41	2	0.057104
41	3	0.025342
42	1	0.119682
42	2	0.074923
42	3	0.031354
43	1	0.106923
43	2	0.075255
43	3	0.036527
44	1	0.017739
44	2	0.114108
44	3	0.017129
45	1	0.050199
45	2	0.056618
45	3	0.042305
46	1	0.040991
46	2	0.104747
46	3	0.027808
47	1	0.099880
47	2	0.049009
47	3	0.039148
48	1	0.063235
48	2	0.064418
48	3	0.058935
49	1	0.019062
49	2	0.074610
49	3	0.065627
50	1	0.052822
50	2	0.082632
50	3	0.022475
51	1	0.068986
51	2	0.054094
51	3	0.053225
52	1	0.096297
52	2	0.085756
52	3	0.044070
53	1	0.057007
53	2	0.043465
53	3	0.039907
54	1	0.030757
54	2	0.032283
54	3	0.018189
55	1	0.078222
55	2	0.099489
55	3	0.028749
56	1	0.046403
56	2	0.018569
56	3	0.013543
57	1	0.060649
57	2	0.124814
57	3	0.039647
58	1	0.046376
58	2	0.019774
58	3	0.030237
59	1	0.035001
59	2	0.037773
59	3	0.050854
60	1	0.088665
60	2	0.046242
60	3	0.024625
61	1	0.039860
61	2	0.050888
61	3	0.015628
62	1	0.038262
62	2	0.029698
62	3	0.024520
63	1	0.018839
63	2	0.084973
63	3	0.023306
64	1	0.066177
64	2	0.040079
64	3	0.033805
65	1	0.102346
65	2	0.068983
65	3	0.029807
66	1	0.018663
66	2	0.044811
66	3	0.044551
67	1	0.053367
67	2	0.064286
67	3	0.010855
68	1	0.076930
68	2	0.062821
68	3	0.029493
69	1	0.064445
69	2	0.173821
69	3	0.042081
70	1	0.093196
70	2	0.040687
70	3	0.026284
71	1	0.092847
71	2	0.012422
71	3	0.062645
72	1	0.013148
72	2	0.063329
72	3	0.070459
72	4	0.048195
72	5	0.080167
72	6	0.028648
72	7	0.043009
72	8	0.034215
73	1	0.024237
73	2	0.019393
73	3	0.039352
73	4	0.056785
73	5	0.079737
73	6	0.082934
73	7	0.072624
73	8	0.041755
74	1	0.091634
74	2	0.084668
74	3	0.070759
74	4	0.051312
74	5	0.065550
74	6	0.067066
74	7	0.086364
74	8	0.036438
75	1	0.036417
75	2	0.021014
75	3	0.072405
75	4	0.078796
75	5	0.040255
75	6	0.041029
75	7	0.031311
75	8	0.019542
76	1	0.123576
76	2	0.057836
76	3	0.062072
76	4	0.098712
76	5	0.018259
76	6	0.065506
76	7	0.032557
76	8	0.108741
77	1	0.092705
77	2	0.057368
77	3	0.044123
77	4	0.060542
77	5	0.054730
77	6	0.096050
77	7	0.034532
77	8	0.097344
78	1	0.026725
78	2	0.059380
78	3	0.066696
78	4	0.075302
78	5	0.070065
78	6	0.019511
78	7	0.076280
78	8	0.019101
79	1	0.065435
79	2	0.073697
79	3	0.056411
79	4	0.054366
79	5	0.050721
79	6	0.048863
79	7	0.085617
79	8	0.074156
80	1	0.022134
81	1	0.019033
82	1	0.016156
83	1	0.034930
84	1	0.019304
85	1	0.036032
86	1	0.038212
87	1	0.021180
88	1	0.016131
89	1	0.023966
90	1	0.038148
91	1	0.026078
92	1	0.034484
93	1	0.017688
94	1	0.013214
95	1	0.030745
96	1	0.089510
97	1	0.045345
98	1	0.019951
99	1	0.036773
100	1	0.017290
101	1	0.034536
102	1	0.047841
103	1	0.026649
104	1	0.005279
105	1	0.049907
106	1	0.015143
107	1	0.033047
108	1	0.037429
109	1	0.022424
110	1	0.047861
111	1	0.004114
112	1	0.042123
113	1	0.017573
114	1	0.056798
115	1	0.046173
116	1	0.042258
117	1	0.035525
118	1	0.041374
119	1	0.025673
120	1	0.053255
121	1	0.044322
122	1	0.050488
123	1	0.040619
124	1	0.073966
125	1	0.005907
126	1	0.016093
127	1	0.052418
128	1	0.023863
129	1	0.082350
130	1	0.005774
131	1	0.027671
132	1	0.023649
133	1	0.030287
134	1	0.006384
135	1	0.021913
136	1	0.006665
137	1	0.054721
138	1	0.006703
139	1	0.020829
140	1	0.043681
141	1	0.090791
142	1	0.022648
143	1	0.049052
