节点	端口	平均利用率
0	1	0.042319
0	2	0.024198
0	3	0.043381
0	4	0.064481
0	5	0.170213
0	6	0.051480
0	7	0.020936
0	8	0.056665
1	1	0.081971
1	2	0.088550
1	3	0.019288
1	4	0.014387
1	5	0.085781
1	6	0.077435
1	7	0.064370
1	8	0.050236
2	1	0.039452
2	2	0.023215
2	3	0.087640
2	4	0.035181
2	5	0.100000
2	6	0.053083
2	7	0.072068
2	8	0.061730
3	1	0.032959
3	2	0.072730
3	3	0.039948
3	4	0.069646
3	5	0.076347
3	6	0.099831
3	7	0.081032
3	8	0.025268
4	1	0.049799
4	2	0.056293
4	3	0.081190
4	4	0.096344
4	5	0.058449
4	6	0.050005
4	7	0.010475
4	8	0.106663
5	1	0.061094
5	2	0.047020
5	3	0.037475
5	4	0.072594
5	5	0.069536
5	6	0.071338
5	7	0.016721
5	8	0.079982
6	1	0.045511
6	2	0.133782
6	3	0.077269
6	4	0.022205
6	5	0.024235
6	6	0.010883
6	7	0.076284
6	8	0.075262
7	1	0.038832
7	2	0.109558
7	3	0.038651
7	4	0.016152
7	5	0.066815
7	6	0.060101
7	7	0.049056
7	8	0.102194
8	1	0.072451
8	2	0.046906
8	3	0.004936
9	1	0.023745
9	2	0.065293
9	3	0.033967
10	1	0.049851
10	2	0.023180
10	3	0.015733
11	1	0.011822
11	2	0.070259
11	3	0.031717
12	1	0.037856
12	2	0.009720
12	3	0.039977
13	1	0.076204
13	2	0.031520
13	3	0.040455
14	1	0.059689
14	2	0.027538
14	3	0.024004
15	1	0.042856
15	2	0.010978
15	3	0.033563
16	1	0.019130
16	2	0.030684
16	3	0.010276
17	1	0.045923
17	2	0.088995
17	3	0.040132
18	1	0.101838
18	2	0.011495
18	3	0.029140
19	1	0.033772
19	2	0.041874
19	3	0.043243
20	1	0.036306
20	2	0.042915
20	3	0.059025
21	1	0.063326
21	2	0.073742
21	3	0.016795
22	1	0.030010
22	2	0.047606
22	3	0.065270
23	1	0.042536
23	2	0.101700
23	3	0.036362
24	1	0.165869
24	2	0.062333
24	3	0.047739
25	1	0.073806
25	2	0.064931
25	3	0.022423
26	1	0.043468
26	2	0.055848
26	3	0.040008
27	1	0.057087
27	2	0.090685
27	3	0.005954
28	1	0.071954
28	2	0.072203
28	3	0.031712
29	1	0.087541
29	2	0.039026
29	3	0.018956
30	1	0.066031
30	2	0.041501
30	3	0.055764
31	1	0.037476
31	2	0.044595
31	3	0.019171
32	1	0.047174
32	2	0.064820
32	3	0.003981
33	1	0.083358
33	2	0.041834
33	3	0.015811
34	1	0.043115
34	2	0.013326
34	3	0.052812
35	1	0.098270
35	2	0.033822
35	3	0.043783
36	1	0.061169
36	2	0.083560
36	3	0.023604
37	1	0.044834
37	2	0.074977
37	3	0.020767
38	1	0.042236
38	2	0.075382
38	3	0.035510
39	1	0.008004
39	2	0.007140
39	3	0.009234
40	1	0.016801
40	2	0.103445
40	3	0.122453
41	1	0.075402
41	2	0.043190
41	3	0.026395
42	1	0.092784
42	2	0.114453
42	3	0.032813
43	1	0.120295
43	2	0.079169
43	3	0.038079
44	1	0.044053
44	2	0.078028
44	3	0.017875
45	1	0.037051
45	2	0.092462
45	3	0.044231
46	1	0.056405
46	2	0.077616
46	3	0.028945
47	1	0.146608
47	2	0.056308
47	3	0.040873
48	1	0.051880
48	2	0.082302
48	3	0.061337
49	1	0.019337
49	2	0.080654
49	3	0.068424
50	1	0.070861
50	2	0.102904
50	3	0.023529
51	1	0.040385
51	2	0.103049
51	3	0.055408
52	1	0.087546
52	2	0.113740
52	3	0.045987
53	1	0.050075
53	2	0.058435
53	3	0.041690
54	1	0.060740
54	2	0.010872
54	3	0.019101
55	1	0.105633
55	2	0.102218
55	3	0.029956
56	1	0.056014
56	2	0.020023
56	3	0.014192
57	1	0.068655
57	2	0.124491
57	3	0.041380
58	1	0.049183
58	2	0.045954
58	3	0.031441
59	1	0.045885
59	2	0.090841
59	3	0.052975
60	1	0.083080
60	2	0.036175
60	3	0.025770
61	1	0.008750
61	2	0.061205
61	3	0.016299
62	1	0.066082
62	2	0.058557
62	3	0.025611
63	1	0.013358
63	2	0.054586
63	3	0.024207
64	1	0.044387
64	2	0.023261
64	3	0.035117
65	1	0.091690
65	2	0.088883
65	3	0.031057
66	1	0.021246
66	2	0.028525
66	3	0.046155
67	1	0.090092
67	2	0.026375
67	3	0.011389
68	1	0.087570
68	2	0.102218
68	3	0.030724
69	1	0.088070
69	2	0.121611
69	3	0.043874
70	1	0.084262
70	2	0.066900
70	3	0.027336
71	1	0.084334
71	2	0.038534
71	3	0.065385
72	1	0.041241
72	2	0.035573
72	3	0.031418
72	4	0.039616
72	5	0.037382
72	6	0.052418
72	7	0.010073
72	8	0.037826
73	1	0.012556
73	2	0.076682
73	3	0.068722
73	4	0.034878
73	5	0.069386
73	6	0.087048
73	7	0.046835
73	8	0.043271
74	1	0.093808
74	2	0.069829
74	3	0.050125
74	4	0.043419
74	5	0.090188
74	6	0.054941
74	7	0.042276
74	8	0.026333
75	1	0.044485
75	2	0.038767
75	3	0.095299
75	4	0.081113
75	5	0.017487
75	6	0.042145
75	7	0.066676
75	8	0.008862
76	1	0.107238
76	2	0.048904
76	3	0.054332
76	4	0.103068
76	5	0.011238
76	6	0.073988
76	7	0.081341
76	8	0.164269
77	1	0.094488
77	2	0.067571
77	3	0.062223
77	4	0.069757
77	5	0.088872
77	6	0.107861
77	7	0.065242
77	8	0.098519
78	1	0.033384
78	2	0.039507
78	3	0.073993
78	4	0.104117
78	5	0.110787
78	6	0.022723
78	7	0.085905
78	8	0.021769
79	1	0.067409
79	2	0.078406
79	3	0.066438
79	4	0.070141
79	5	0.053312
79	6	0.028215
79	7	0.083307
79	8	0.049246
80	1	0.023050
81	1	0.019808
82	1	0.016872
83	1	0.036405
84	1	0.020213
85	1	0.037633
86	1	0.039824
87	1	0.022158
88	1	0.016830
