节点	端口	平均利用率
0	1	0.139200
0	2	0.039963
0	3	0.325580
0	4	0.199435
0	5	0.444492
0	6	0.143989
0	7	0.054528
0	8	0.296260
1	1	0.129663
1	2	0.465503
1	3	0.140038
1	4	0.059805
1	5	0.204790
1	6	0.248656
1	7	0.127266
1	8	0.149592
2	1	0.157912
2	2	0.072357
2	3	0.172017
2	4	0.139439
2	5	0.256309
2	6	0.110776
2	7	0.150983
2	8	0.258991
3	1	0.156586
3	2	0.227901
3	3	0.125158
3	4	0.111755
3	5	0.201345
3	6	0.274692
3	7	0.137456
3	8	0.135670
4	1	0.097338
4	2	0.125657
4	3	0.201153
4	4	0.265376
4	5	0.198821
4	6	0.211436
4	7	0.211203
4	8	0.190284
5	1	0.288562
5	2	0.202443
5	3	0.069740
5	4	0.170523
5	5	0.171485
5	6	0.226310
5	7	0.131013
5	8	0.288081
6	1	0.028072
6	2	0.278148
6	3	0.128615
6	4	0.172366
6	5	0.269268
6	6	0.102547
6	7	0.086746
6	8	0.174003
7	1	0.177006
7	2	0.253660
7	3	0.112379
7	4	0.052130
7	5	0.210734
7	6	0.102938
7	7	0.274269
7	8	0.183243
8	1	0.132982
8	2	0.155513
8	3	0.014669
9	1	0.202991
9	2	0.039572
9	3	0.101981
10	1	0.233395
10	2	0.151073
10	3	0.047133
11	1	0.105596
11	2	0.229899
11	3	0.095301
12	1	0.204190
12	2	0.024229
12	3	0.120346
13	1	0.117473
13	2	0.243667
13	3	0.121639
14	1	0.101717
14	2	0.156337
14	3	0.072011
15	1	0.023271
15	2	0.192148
15	3	0.100267
16	1	0.076867
16	2	0.077437
16	3	0.030731
17	1	0.068328
17	2	0.366985
17	3	0.120331
18	1	0.073047
18	2	0.187082
18	3	0.087334
19	1	0.184769
19	2	0.125020
19	3	0.129632
20	1	0.098541
20	2	0.137253
20	3	0.177796
21	1	0.268997
21	2	0.202364
21	3	0.050243
22	1	0.147973
22	2	0.046333
22	3	0.195979
23	1	0.198632
23	2	0.160653
23	3	0.108945
24	1	0.515375
24	2	0.370863
24	3	0.143622
25	1	0.333885
25	2	0.220120
25	3	0.067529
26	1	0.154788
26	2	0.123702
26	3	0.119969
27	1	0.156945
27	2	0.322505
27	3	0.017907
28	1	0.109044
28	2	0.215751
28	3	0.095180
29	1	0.263809
29	2	0.118047
29	3	0.056905
30	1	0.101558
30	2	0.262253
30	3	0.167738
31	1	0.177149
31	2	0.101639
31	3	0.057020
32	1	0.121121
32	2	0.201067
32	3	0.011492
33	1	0.191489
33	2	0.151816
33	3	0.047541
34	1	0.114246
34	2	0.028470
34	3	0.158397
35	1	0.095865
35	2	0.206308
35	3	0.131543
36	1	0.213787
36	2	0.270149
36	3	0.070804
37	1	0.235764
37	2	0.078310
37	3	0.062362
38	1	0.253787
38	2	0.102728
38	3	0.106695
39	1	0.058649
39	2	0.024475
39	3	0.027519
40	1	0.247059
40	2	0.111415
40	3	0.368853
41	1	0.158632
41	2	0.178202
41	3	0.079045
42	1	0.375005
42	2	0.234961
42	3	0.098460
43	1	0.334920
43	2	0.235838
43	3	0.114415
44	1	0.055363
44	2	0.357240
44	3	0.053615
45	1	0.157538
45	2	0.177268
45	3	0.132543
46	1	0.128582
46	2	0.327759
46	3	0.086974
47	1	0.313090
