NodeID	PortID	AverageQueueLength	SampleCount
0	1	1309358.017246	45402
0	2	1263111.680300	45402
0	3	415237.728933	45402
0	4	405939.833950	45402
0	5	389502.040769	45402
0	6	352.317497	45402
0	7	43.455487	45402
0	8	182.324623	45351
0	9	53.444826	45402
1	1	1143950.373089	45402
1	2	1485292.360138	45402
1	3	490296.727589	45402
1	4	329098.307674	45402
1	5	423970.007070	45402
1	6	41.206412	45351
1	7	69.519096	45402
1	8	93.857473	45402
1	9	805.792433	45301
2	1	1233379.204859	45402
2	2	1294006.049800	45402
2	3	274192.120964	45402
2	4	425378.504427	45402
2	5	331573.420510	45402
2	6	210.249240	45402
2	7	199.881679	45402
2	8	140.254945	45351
2	9	30.062795	45402
3	1	1138859.013303	45402
3	2	1469587.383045	45402
3	3	297698.763733	45402
3	4	487260.528765	45402
3	5	550694.192304	45402
3	6	151.104555	45402
3	7	76.074776	45402
3	8	559.008458	45402
3	9	85.496652	45402
4	1	1124726.980507	45402
4	2	1242532.420422	45402
4	3	472912.700322	45402
4	4	414570.653892	45402
4	5	421265.731422	45402
4	6	63.482225	45402
4	7	89.925514	45351
4	8	1597.640251	45301
4	9	981.783665	45351
5	1	1491828.152614	45402
5	2	1284344.964693	45402
5	3	539557.521937	45402
5	4	345822.452711	45402
5	5	83961.735716	45402
5	6	478.905268	45402
5	7	160.348729	45402
5	8	62.946638	45351
5	9	702.157879	45402
6	1	1471087.324083	45402
6	2	1285857.754042	45402
6	3	158663.539910	45402
6	4	324919.352628	45402
6	5	141854.550350	45402
6	6	275.345249	45402
6	7	205.448284	45402
6	8	1544.126228	45402
6	9	69.245804	45402
7	1	1252204.030373	45402
7	2	1345307.000595	45402
7	3	451485.152394	45402
7	4	541826.332034	45402
7	5	471576.037487	45402
7	6	67.476439	45351
7	7	957.003017	45402
7	8	93.914886	45351
7	9	38.083111	45301
8	1	901900.151029	45402
8	2	1372414.124268	45402
8	3	210002.358200	45402
8	4	134181.762566	45402
8	5	122471.170323	45402
8	6	107.193733	45351
8	7	43.633650	45402
8	8	68.715916	45402
8	9	92.524266	45351
9	1	818105.434540	45402
9	2	1185783.362914	45402
9	3	305961.878331	45402
9	4	203265.185587	45402
9	5	88632.743183	45402
9	6	103.901855	45402
9	7	242.162394	45402
9	8	120.884521	45402
9	9	35.853168	45351
10	1	862081.065834	45402
10	2	1077819.724836	45402
10	3	94123.332584	45402
10	4	184136.340778	45402
10	5	103436.664002	45402
10	6	32.959804	45402
10	7	733.181826	45351
10	8	46.794018	45402
10	9	778.617814	45402
11	1	1177950.459583	45402
11	2	1025209.090569	45402
11	3	404034.785957	45402
11	4	268803.901084	45402
11	5	426623.229968	45402
11	6	231.651805	45351
11	7	19.963051	45251
11	8	93.282477	45402
11	9	790.803511	45402
12	1	1792242.754548	45402
12	2	1274008.436302	45402
12	3	466994.778468	45402
12	4	290406.655213	45402
12	5	339919.372781	45402
12	6	44.464874	45251
12	7	188.484692	45402
12	8	78.433880	45402
12	9	342.828223	45402
13	1	1551281.015286	45402
13	2	1519480.405577	45402
13	3	398082.106207	45402
13	4	328205.941963	45402
13	5	299083.668935	45402
13	6	99.669706	45402
13	7	94.498987	45402
13	8	111.990970	45402
13	9	139.916700	45402
14	1	1413778.394674	45402
14	2	1551156.614290	45402
14	3	212296.551892	45402
14	4	283624.334567	45402
14	5	347265.057486	45402
14	6	49.597385	45351
14	7	221.328681	45351
14	8	274.107385	45351
14	9	69.765408	45351
15	1	1525993.548214	45402
15	2	1207382.162328	45402
15	3	395975.001079	45402
15	4	329266.880159	45402
15	5	252587.349698	45402
15	6	28.740800	45351
15	7	376.730915	45402
15	8	28.024845	45402
15	9	383.923221	45351
16	1	1012683.970023	45402
16	2	1314081.569556	45402
16	3	319840.345690	45402
16	4	694570.895974	45402
16	5	365778.202590	45402
16	6	105.711070	45402
16	7	92.350491	45402
16	8	63.531455	45351
16	9	100.824061	45351
17	1	1455092.791000	45402
17	2	1260608.898220	45402
17	3	161418.012026	45402
17	4	347314.392185	45402
17	5	390090.811088	45402
17	6	214.789415	45402
17	7	48.675213	45402
17	8	1886.659244	45402
17	9	317.529624	45351
18	1	1096526.085943	45402
18	2	1334610.691644	45402
18	3	234361.338355	45402
18	4	417138.222479	45402
18	5	399372.836946	45402
18	6	11413.418286	45402
18	7	82.635174	45301
18	8	1387.046209	45402
18	9	107.526453	45402
19	1	1557926.756244	45402
19	2	849763.459958	45402
19	3	136073.798731	45402
19	4	291471.085106	45402
19	5	308950.280803	45402
19	6	183.652394	45402
19	7	31.719550	45402
19	8	106.077330	45351
19	9	177.658328	45251
20	1	1061622.534558	45402
20	2	1509953.214902	45402
20	3	328242.503480	45402
20	4	196415.865402	45402
20	5	312085.110986	45402
20	6	96.205552	45351
20	7	291.192260	45402
20	8	73.208097	45402
20	9	180.257147	45402
21	1	1189151.305361	45402
21	2	1284646.908418	45402
21	3	270370.862671	45402
21	4	245706.381283	45402
21	5	356180.605392	45402
21	6	98.521739	45402
21	7	121.777552	45251
21	8	342.348178	45402
21	9	142.512731	45402
22	1	1584638.720233	45402
22	2	1218853.661160	45402
22	3	454769.009933	45402
22	4	149220.033325	45402
22	5	279097.535153	45402
22	6	191.660228	45351
22	7	38.014184	45402
22	8	134.196753	45402
22	9	200.813907	45402
23	1	1213661.761420	45402
23	2	1378358.862209	45402
23	3	453161.902163	45402
23	4	497502.415466	45402
23	5	456049.471499	45402
23	6	517.240056	45402
23	7	234.774151	45402
23	8	119.360557	45402
23	9	111.937602	45402
24	1	1048474.788952	45402
24	2	1352007.695322	45402
24	3	163202.103167	45402
24	4	392551.542003	45402
24	5	162494.887428	45402
24	6	54.425069	45402
24	7	184.082375	45402
24	8	176.982600	45402
24	9	1471.312628	45351
25	1	1327642.864103	45402
25	2	1522620.213449	45402
25	3	331735.095040	45402
25	4	236472.412955	45402
25	5	238151.883507	45402
25	6	23.372076	45351
25	7	752.050394	45402
25	8	59.858107	45351
25	9	34.794987	45402
26	1	1150375.678274	45402
26	2	849163.584776	45402
26	3	117709.003414	45402
26	4	213010.541386	45402
26	5	192847.655235	45402
26	6	166.307938	45402
26	7	325.055919	45351
26	8	160.608189	45402
26	9	149.463702	45402
27	1	1637686.817497	45402
27	2	1059948.304898	45402
27	3	309658.695894	45402
27	4	414049.483459	45402
27	5	675079.984824	45402
27	6	97.038589	45402
27	7	81.737567	45402
27	8	87.506453	45402
27	9	66.792573	45351
28	1	1398467.944408	45402
28	2	1153302.954099	45402
28	3	262385.599313	45402
28	4	290233.562508	45402
28	5	342853.980926	45402
28	6	51.770913	45402
28	7	328.178957	45402
28	8	140.837843	45351
28	9	39.258561	45351
29	1	1157761.117109	45402
29	2	1075929.865270	45402
29	3	444795.325999	45402
29	4	254959.524558	45402
29	5	273584.971235	45402
29	6	95.236509	45402
29	7	81.112550	45402
29	8	143.790846	45402
29	9	95.913534	45301
30	1	1045278.516123	45402
30	2	1301089.200894	45402
30	3	168177.586384	45402
30	4	272651.554843	45402
30	5	128734.909321	45402
30	6	135.231660	45351
30	7	60.060154	45201
30	8	76.627395	45402
30	9	135.980908	45201
31	1	1017833.976719	45402
31	2	1035874.623959	45402
31	3	244177.648804	45402
31	4	98918.822827	45402
31	5	262885.278071	45402
31	6	51.764394	45402
31	7	81.166303	45351
31	8	55.193403	45351
31	9	16940.202744	45402
32	1	1718612.187327	45402
32	2	1368584.027378	45402
32	3	281543.171953	45402
32	4	289122.930113	45402
32	5	364521.522158	45402
32	6	55.700079	45402
32	7	155.008555	45351
32	8	1045.118542	45351
32	9	90.919142	45351
33	1	1440577.676314	45402
33	2	1393098.649465	45402
33	3	620206.602661	45402
33	4	536579.636470	45402
33	5	475152.581891	45402
33	6	888.694309	45402
33	7	83.098675	45351
33	8	188.422250	45402
33	9	259.607771	45351
34	1	1544512.678869	45402
34	2	1319666.765517	45402
34	3	263168.803665	45402
34	4	227148.028963	45402
34	5	287406.508656	45402
34	6	98.439210	45402
34	7	78.001786	45351
34	8	226.581759	45402
34	9	113.222832	45402
35	1	1197987.932492	45402
35	2	1154278.204286	45402
35	3	213918.704484	45402
35	4	212035.029734	45402
35	5	238792.456191	45402
35	6	97.023479	45402
35	7	303.635787	45402
35	8	35.118079	45351
35	9	86.030584	45351
