NodeID	PortID	AverageQueueLength	SampleCount
0	1	223420.216490	43905
0	2	193322.096504	43905
0	3	21910.660768	43905
0	4	24805.678078	43905
0	5	11702.050632	43905
0	6	5782.496367	43905
0	7	456.512971	43905
0	8	1178.083527	43854
0	9	251.200296	43905
1	1	129628.525908	43905
1	2	209650.264457	43905
1	3	34385.595991	43905
1	4	50403.759526	43905
1	5	33938.825783	43905
1	6	1198.561500	43854
1	7	1216.320852	43905
1	8	785.401070	43905
1	9	4175.906363	43754
2	1	191156.080743	43905
2	2	169422.448491	43905
2	3	25568.931602	43905
2	4	21580.252113	43905
2	5	20245.694363	43905
2	6	1766.071359	43905
2	7	1347.844414	43905
2	8	1695.364961	43854
2	9	2951.409133	43905
3	1	199187.264093	43905
3	2	164647.655643	43905
3	3	28255.039221	43905
3	4	39402.666735	43905
3	5	29117.967498	43905
3	6	1642.579387	43905
3	7	1095.737023	43905
3	8	3152.567134	43905
3	9	1622.845849	43905
4	1	158672.887530	43905
4	2	133479.305523	43905
4	3	46984.884592	43905
4	4	44220.418631	43905
4	5	37760.866963	43905
4	6	753.093839	43905
4	7	1348.266749	43854
4	8	2911.607913	43804
4	9	5799.232704	43854
5	1	179317.233777	43905
5	2	157476.299829	43905
5	3	24781.789523	43905
5	4	27894.782348	43905
5	5	13856.771211	43905
5	6	9585.966314	43905
5	7	975.451452	43905
5	8	463.957062	43854
5	9	2278.586015	43905
6	1	170193.354197	43905
6	2	164216.503132	43905
6	3	24368.574103	43905
6	4	29110.800752	43905
6	5	27143.087940	43905
6	6	4617.900604	43905
6	7	1412.176859	43905
6	8	5872.594875	43905
6	9	1078.931898	43905
7	1	165848.755381	43905
7	2	159923.170801	43905
7	3	42664.930851	43905
7	4	44657.913245	43905
7	5	36637.046077	43905
7	6	690.014525	43854
7	7	6743.451270	43905
7	8	2197.092534	43854
7	9	368.910716	43804
8	1	90007.502038	43905
8	2	181931.993190	43905
8	3	17430.492017	43905
8	4	20343.684091	43905
8	5	10425.448446	43905
8	6	831.499384	43854
8	7	546.388225	43905
8	8	783.794055	43905
8	9	1199.629954	43854
9	1	147980.712561	43905
9	2	150685.386402	43905
9	3	29282.915477	43905
9	4	22892.400364	43905
9	5	13442.620294	43905
9	6	1319.736522	43905
9	7	3147.749186	43905
9	8	3718.288623	43905
9	9	1686.270466	43854
10	1	165769.222845	43905
10	2	114802.601367	43905
10	3	15295.878875	43905
10	4	19262.323904	43905
10	5	17037.091903	43905
10	6	428.490582	43905
10	7	3580.589296	43854
10	8	585.642250	43905
10	9	2460.554288	43905
11	1	152901.925680	43905
11	2	191870.700672	43905
11	3	27852.110671	43905
11	4	35311.214691	43905
11	5	31843.831841	43905
11	6	2054.708396	43854
11	7	134.092129	43754
11	8	1126.540599	43905
11	9	4096.826899	43905
12	1	259718.729780	43905
12	2	250058.663091	43905
12	3	27088.572554	43905
12	4	19261.608541	43905
12	5	17068.069058	43905
12	6	1086.950884	43754
12	7	3548.557112	43905
12	8	909.843116	43905
12	9	4307.202984	43905
13	1	242904.000046	43905
13	2	251926.025555	43905
13	3	25789.523152	43905
13	4	17625.707528	43905
13	5	24284.343993	43905
13	6	1238.213256	43905
13	7	663.275413	43905
13	8	2224.691857	43905
13	9	1078.564788	43905
14	1	235301.120966	43905
14	2	209139.546043	43905
14	3	20246.056622	43905
14	4	22677.400182	43905
14	5	29309.628471	43905
14	6	733.816664	43854
14	7	2257.715191	43854
14	8	2272.015141	43854
14	9	882.281297	43854
15	1	273214.129507	43905
15	2	254555.675094	43905
15	3	20936.572372	43905
15	4	25595.135042	43905
15	5	18880.831864	43905
15	6	192.169525	43905
15	7	1040.125658	43905
15	8	226.038652	43905
15	9	3511.678228	43854
16	1	187744.401959	43905
16	2	178696.239380	43905
16	3	37045.958274	43905
16	4	48283.122310	43905
16	5	36958.460153	43905
16	6	2405.105956	43905
16	7	569.088737	43905
16	8	2374.066402	43854
