NodeID	PortID	AverageQueueLength	SampleCount
0	1	333.883429	192526
0	2	37686.209972	192526
0	3	796.876742	192475
0	4	1733.783629	192526
0	5	450.390908	192475
0	6	115.784242	192526
0	7	19.954894	192526
0	8	54.483071	192475
0	9	27.403005	192526
1	1	14172.410932	192526
1	2	9983.735942	192526
1	3	2117.285774	192526
1	4	6308.346982	192526
1	5	1278.009827	192526
1	6	103.515324	192475
1	7	43.360663	192526
1	8	12.941483	192526
1	9	41.200083	192425
2	1	16776.177046	192526
2	2	11263.962878	192526
2	3	764.290288	192526
2	4	223.781406	192526
2	5	482.957382	192526
2	6	61.394736	192526
2	7	74.496136	192526
2	8	84.309562	192475
2	9	17.516886	192526
3	1	25469.991079	192475
3	2	201.852015	192526
3	3	420.663495	192526
3	4	5172.738622	192526
3	5	381.905872	192526
3	6	37.076333	192526
3	7	29.002706	192526
3	8	55.596210	192526
3	9	114.916219	192526
4	1	301.694711	192526
4	2	11451.706414	192526
4	3	1096.183513	192526
4	4	1504.509547	192526
4	5	715.414672	192475
4	6	14.000223	192526
4	7	50.742829	192475
4	8	67.574634	192425
4	9	41.864071	192475
5	1	31697.932809	192526
5	2	4964.431749	192526
5	3	191.698150	192526
5	4	551.065716	192526
5	5	414.207343	192526
5	6	14.832412	192526
5	7	57.282341	192526
5	8	17.610188	192475
5	9	51.340318	192526
6	1	31737.495502	192526
6	2	6303.049038	192526
6	3	627.304458	192526
6	4	1236.639353	192526
6	5	642.211098	192475
6	6	108.433490	192526
6	7	82.033221	192526
6	8	191.074915	192526
6	9	29.133878	192526
7	1	867.262806	192526
7	2	22844.502322	192526
7	3	941.590960	192475
7	4	1638.703931	192526
7	5	1056.042645	192425
7	6	204.848339	192475
7	7	84.245811	192526
7	8	44.350944	192475
7	9	14.792584	192425
8	1	428.732286	192526
8	2	3143.114260	192526
8	3	116.636997	192475
8	4	203.770722	192526
8	5	86.371020	192526
8	6	80.537161	192475
8	7	14.910137	192526
8	8	78.972450	192526
8	9	18.024486	192475
9	1	11778.059291	192526
9	2	5710.488204	192526
9	3	1130.940507	192526
9	4	403.268234	192526
9	5	261.244346	192526
9	6	30.499948	192526
9	7	102.997242	192526
9	8	38.276929	192526
9	9	29.310394	192475
10	1	15499.598008	192526
10	2	7130.209447	192526
10	3	208.487036	192526
10	4	2674.224848	192526
10	5	114.263850	192526
10	6	17.738752	192526
10	7	103.440795	192475
10	8	21.702606	192526
10	9	126.275641	192526
11	1	16956.761543	192475
11	2	616.706725	192526
11	3	163.079615	192526
11	4	1684.015660	192526
11	5	497.194814	192425
11	6	23.355147	192475
11	7	6.946828	192375
11	8	10.400917	192526
11	9	67.052881	192526
12	1	1131.320061	192526
12	2	14996.072530	192526
12	3	732.338032	192526
12	4	890.939649	192475
12	5	1467.414204	192526
12	6	25.152192	192375
12	7	46.392939	192526
12	8	36.648157	192526
12	9	38.279012	192526
13	1	38642.017821	192526
13	2	2510.966789	192526
13	3	187.803632	192526
13	4	887.928685	192526
13	5	1696.450713	192526
13	6	36.788548	192526
13	7	17.104983	192526
13	8	51.011391	192526
13	9	30.250408	192526
14	1	57324.348743	192526
14	2	17517.747603	192526
14	3	378.624943	192475
14	4	587.327530	192526
14	5	480.578722	192526
