NodeID	PortID	AverageQueueLength	SampleCount
0	1	727.989106	69857
0	2	6146.057274	69857
0	3	520.225067	69806
0	4	1468.833861	69857
0	5	120.185672	69806
0	6	212.876104	69857
0	7	26.999914	69857
0	8	111.725539	69806
0	9	28.911104	69857
1	1	6496.268792	69857
1	2	1703.502570	69857
1	3	619.604793	69857
1	4	904.999771	69857
1	5	1767.645504	69857
1	6	16.639143	69806
1	7	137.747728	69857
1	8	28.428833	69857
1	9	74.903105	69756
2	1	6503.237442	69857
2	2	2763.304436	69857
2	3	513.813333	69857
2	4	572.643200	69857
2	5	391.973260	69857
2	6	96.733155	69857
2	7	84.083256	69857
2	8	89.287368	69806
2	9	68.620310	69857
3	1	9103.680414	69806
3	2	483.716893	69857
3	3	524.642928	69857
3	4	899.797973	69857
3	5	701.912664	69857
3	6	122.465666	69857
3	7	66.191262	69857
3	8	241.847088	69857
3	9	72.762858	69857
4	1	300.982765	69857
4	2	1350.499105	69857
4	3	501.970554	69857
4	4	592.966346	69857
4	5	469.925221	69806
4	6	41.733713	69857
4	7	115.460677	69806
4	8	187.891049	69756
4	9	173.052918	69806
5	1	4389.323647	69857
5	2	1411.715089	69857
5	3	319.333224	69857
5	4	586.630502	69857
5	5	318.862491	69857
5	6	85.735703	69857
5	7	93.431825	69857
5	8	24.913833	69806
5	9	85.229941	69857
6	1	4378.726355	69857
6	2	6286.405042	69857
6	3	560.024335	69857
6	4	950.870421	69857
6	5	513.733576	69806
6	6	376.419085	69857
6	7	75.076843	69857
6	8	53.123753	69857
6	9	242.122722	69857
7	1	510.100262	69857
7	2	3505.739153	69857
7	3	4533.325832	69806
7	4	1388.542480	69857
7	5	1100.503541	69756
7	6	35.453185	69806
7	7	298.906810	69857
7	8	121.883348	69806
7	9	17.869861	69756
8	1	405.598351	69857
8	2	3143.992070	69857
8	3	312.835960	69806
8	4	521.061383	69857
8	5	299.847717	69857
8	6	222.449804	69806
8	7	48.103368	69857
8	8	115.409608	69857
8	9	68.691158	69806
9	1	3506.875073	69857
9	2	3553.104657	69857
9	3	1122.792619	69857
9	4	490.239876	69857
9	5	418.170591	69857
9	6	34.232403	69857
9	7	325.846143	69857
9	8	409.853043	69857
9	9	26.210483	69806
10	1	3911.370485	69857
10	2	3767.770588	69857
10	3	576.609631	69857
10	4	1110.731895	69857
10	5	501.282635	69857
10	6	15.515024	69857
10	7	389.101882	69806
10	8	38.610103	69857
10	9	81.375939	69857
11	1	2309.870613	69806
11	2	370.441674	69857
11	3	391.122779	69857
11	4	890.843724	69857
11	5	450.893988	69756
11	6	49.721858	69806
11	7	10.908143	69706
11	8	39.876648	69857
11	9	239.174156	69857
12	1	1784.505089	69857
12	2	3475.931073	69857
12	3	321.988705	69857
12	4	503.180701	69806
12	5	362.877893	69857
12	6	18.968080	69706
12	7	252.046108	69857
12	8	116.535666	69857
12	9	62.307099	69857
13	1	2609.270810	69857
13	2	1937.417897	69857
13	3	357.666590	69857
13	4	853.753625	69857
13	5	1146.683969	69857
13	6	42.074882	69857
13	7	115.772764	69857
13	8	62.952031	69857
13	9	113.158080	69857
14	1	9937.539703	69857
14	2	2342.045937	69857
14	3	868.262212	69806
14	4	602.271340	69857
14	5	451.987761	69857
14	6	34.859769	69806
14	7	62.161605	69806
14	8	88.388563	69806
14	9	26.597828	69806
15	1	3608.788167	69857
15	2	587.902515	69857
15	3	634.504932	69857
15	4	1672.144810	69857
15	5	891.769214	69857
15	6	22.012039	69857
15	7	48.436191	69857
15	8	25.218317	69857
15	9	43.680070	69806
16	1	574.725196	69857
16	2	3213.195170	69857
16	3	436.726327	69857
16	4	513.497015	69857
16	5	388.976334	69806
16	6	52.239106	69806
16	7	136.902930	69857
16	8	151.978283	69806
16	9	46.297910	69756
17	1	5553.382181	69857
17	2	3180.345013	69806
17	3	613.314185	69857
17	4	1020.874286	69857
17	5	987.472911	69806
17	6	50.894127	69857
17	7	21.990746	69806
17	8	93.063558	69857
17	9	206.541916	69806
18	1	2690.032037	69857
18	2	4294.298252	69857
18	3	183.755085	69857
18	4	468.786908	69857
18	5	2633.437995	69857
18	6	551.266101	69857
18	7	29.169362	69756
18	8	192.421318	69857
18	9	67.442590	69857
19	1	1941.294645	69857
19	2	1121.747267	69706
19	3	1236.571253	69857
19	4	532.480882	69857
19	5	719.094479	69857
19	6	215.744693	69857
19	7	18.380191	69857
19	8	318.087328	69806
19	9	201.718001	69706
20	1	645.535942	69806
20	2	3547.814822	69857
20	3	1007.267570	69806
20	4	162.562621	69857
20	5	444.270450	69806
20	6	69.758932	69806
20	7	106.577108	69857
20	8	47.120661	69857
20	9	53.541807	69857
21	1	1948.542065	69857
21	2	2767.186710	69857
21	3	475.914531	69756
21	4	504.381465	69857
21	5	552.722991	69857
21	6	37.585110	69857
21	7	81.903050	69706
21	8	101.818715	69857
21	9	53.399330	69857
22	1	2736.005926	69857
22	2	2644.135190	69857
22	3	853.306168	69857
22	4	101.616016	69857
22	5	417.412342	69857
22	6	154.739807	69806
22	7	39.141131	69857
22	8	67.801766	69857
22	9	22.487782	69857
23	1	2484.171035	69857
23	2	273.994832	69857
23	3	331.950491	69806
23	4	689.207094	69857
23	5	908.277152	69857
23	6	44.507666	69857
23	7	100.025796	69857
23	8	229.178923	69857
23	9	106.346336	69857
24	1	571.049043	69857
24	2	5864.433629	69857
24	3	318.341913	69857
24	4	709.336616	69857
24	5	466.966641	69756
24	6	41.156606	69857
24	7	44.278569	69857
24	8	190.369741	69857
24	9	131.400152	69806
25	1	4831.360365	69857
25	2	8174.239532	69857
25	3	319.039223	69857
25	4	308.029761	69857
25	5	796.756388	69857
25	6	21.602728	69806
25	7	296.008575	69857
25	8	44.020457	69806
25	9	13.521222	69857
26	1	1810.782284	69857
26	2	2619.809668	69857
26	3	988.692429	69857
26	4	461.683611	69857
26	5	762.495727	69857
26	6	82.766509	69857
26	7	608.450491	69806
26	8	53.145053	69857
26	9	132.876233	69857
27	1	3450.413530	69857
27	2	361.352348	69857
27	3	395.558441	69857
27	4	1077.906552	69857
27	5	851.718396	69857
27	6	64.762944	69857
27	7	118.457306	69857
27	8	24.136064	69857
27	9	38.091983	69806
28	1	5860.679870	69806
28	2	365.085895	69806
28	3	1121.786249	69857
28	4	795.435163	69806
28	5	373.374723	69857
28	6	105.977366	69806
28	7	51.935468	69857
28	8	77.985202	69806
28	9	22.093516	69806
29	1	3309.425355	69857
29	2	4009.816840	69857
29	3	297.818343	69857
29	4	429.001646	69857
29	5	1750.319839	69857
29	6	144.908212	69857
29	7	204.476492	69806
29	8	102.820319	69857
29	9	342.397629	69756
30	1	2105.258371	69857
30	2	6050.899724	69857
30	3	254.549580	69806
30	4	609.095109	69857
30	5	544.012769	69857
30	6	78.035513	69806
30	7	57.079333	69656
30	8	22.255938	69806
30	9	66.144266	69656
31	1	1201.317935	69857
31	2	377.235381	69806
31	3	598.308240	69806
31	4	128.691742	69857
31	5	289.090041	69857
31	6	107.423279	69857
31	7	93.802395	69806
31	8	202.558448	69806
31	9	707.743304	69857
32	1	807.336344	69857
32	2	3815.928010	69857
32	3	620.211128	69806
32	4	621.178523	69806
32	5	618.435622	69806
32	6	79.010808	69857
32	7	188.286193	69806
32	8	108.333453	69806
32	9	269.321548	69806
33	1	3059.715204	69857
33	2	2119.957227	69857
33	3	421.934175	69806
33	4	1458.917131	69857
33	5	264.818171	69857
33	6	105.397483	69857
33	7	92.595522	69806
33	8	74.330690	69857
33	9	218.739277	69806
34	1	2832.271898	69857
34	2	13285.956640	69857
34	3	906.933244	69806
34	4	319.007344	69857
34	5	498.484833	69857
34	6	93.049659	69857
34	7	50.390826	69806
34	8	25.912106	69857
34	9	40.919049	69857
