NodeID	PortID	AverageQueueLength	SampleCount
0	1	36.784746	403272
0	2	570.366389	403323
0	3	27.638651	403272
0	4	67.797768	403323
0	5	33.078550	403272
0	6	5.728846	403272
0	7	8.251015	403323
0	8	15.718427	403323
0	9	8.303916	403272
1	1	1021.161590	403323
1	2	532.616233	403323
1	3	39.767933	403323
1	4	98.198528	403323
1	5	83.912281	403323
1	6	23.887663	403323
1	7	17.421513	403323
1	8	28.409133	403272
1	9	8.956786	403222
2	1	964.366089	403323
2	2	789.687320	403323
2	3	25.055908	403323
2	4	46.452729	403323
2	5	101.163199	403323
2	6	26.771002	403323
2	7	33.539139	403323
2	8	12.362599	403272
2	9	21.762039	403323
3	1	729.644037	403323
3	2	39.351083	403323
3	3	75.900360	403272
3	4	60.191254	403323
3	5	63.082098	403323
3	6	18.911846	403272
3	7	9.043528	403323
3	8	38.202510	403323
3	9	4.132745	403323
4	1	48.760430	403323
4	2	591.001515	403323
4	3	53.485517	403323
4	4	534.605770	403323
4	5	20.386135	403323
4	6	24.906767	403323
4	7	62.257134	403323
4	8	12.376083	403323
4	9	8.931662	403272
5	1	237.414229	403323
5	2	634.208694	403323
5	3	61.552138	403323
5	4	106.365977	403323
5	5	43.589716	403323
5	6	17.416621	403323
5	7	14.654131	403323
5	8	13.530709	403323
5	9	13.365267	403272
6	1	629.298825	403323
6	2	763.319161	403323
6	3	142.986185	403323
6	4	56.996962	403272
6	5	48.134089	403323
6	6	19.877547	403272
6	7	6.350226	403122
6	8	15.478160	403323
6	9	1.304474	403272
7	1	76.744274	403323
7	2	167.621896	403323
7	3	80.352097	403323
7	4	97.962985	403323
7	5	74.250962	403272
7	6	2.887998	403172
7	7	7.504959	403272
7	8	21.079222	403323
7	9	2.271626	403323
8	1	24.637794	403323
8	2	131.303248	403323
8	3	18.951763	403172
8	4	86.736707	403323
8	5	41.954130	403272
8	6	13.342770	403323
8	7	8.126631	403323
8	8	3.186036	403272
8	9	2.291463	403272
9	1	494.615938	403323
9	2	1003.607855	403323
9	3	88.795060	403172
9	4	119.557647	403323
9	5	55.458799	403323
9	6	31.996648	403323
9	7	6.692083	403323
9	8	7.627224	403272
9	9	9.369572	403272
10	1	698.462421	403323
10	2	1579.587118	403323
10	3	37.796612	403323
10	4	82.132807	403323
10	5	54.555314	403323
10	6	3.453624	403323
10	7	78.709456	403323
10	8	13.964066	403323
10	9	13.795055	403323
11	1	82.955307	403222
11	2	114.274567	403323
11	3	59.416445	403323
11	4	87.074236	403323
11	5	71.722800	403323
11	6	22.106875	403323
11	7	8.222038	403323
11	8	17.241858	403323
11	9	15.651763	403323
12	1	18.824367	403272
12	2	604.682981	403272
12	3	271.698985	403272
12	4	75.400025	403272
12	5	73.807464	403323
12	6	62.081443	403323
12	7	21.174218	403172
12	8	12.047260	403323
12	9	24.544826	403323
13	1	823.860849	403323
13	2	718.085244	403323
13	3	210.940608	403272
13	4	66.567622	403323
13	5	55.835055	403323
13	6	10.595468	403323
13	7	21.158737	403272
13	8	23.101725	403323
13	9	63.502929	403272
14	1	286.881279	403323
14	2	2004.121580	403323
14	3	28.932748	403272
14	4	141.544611	403323
14	5	84.744902	403323
14	6	5.228714	403272
14	7	21.162950	403272
14	8	6.965331	403323
14	9	18.091554	403272
15	1	672.569025	403323
15	2	23.383769	403323
15	3	56.909827	403323
15	4	45.320602	403323
15	5	52.354547	403323
15	6	2.321078	403323
15	7	7.546247	403272
15	8	14.909566	403323
15	9	6.163514	403323
16	1	41.402613	403323
16	2	154.928368	403323
16	3	70.085401	403323
16	4	288.897135	403323
16	5	32.785757	403323
16	6	13.514275	403323
16	7	2.138671	403272
16	8	11.642827	403323
16	9	18.739323	403323
17	1	1194.660410	403272
17	2	1432.907518	403323
17	3	75.936054	403323
17	4	174.914378	403272
17	5	62.531301	403323
17	6	7.593299	403272
17	7	8.506215	403323
17	8	9.969816	403323
17	9	9.635815	403323
18	1	1449.221098	403323
18	2	484.138946	403323
18	3	72.235595	403323
18	4	190.370368	403272
18	5	43.794420	403323
18	6	28.440253	403323
18	7	11.217793	403323
18	8	5.617708	403323
18	9	0.099414	403272
19	1	335.281915	403323
19	2	46.359439	403323
19	3	108.709712	403323
19	4	143.204266	403323
19	5	16.965209	403323
19	6	4.605376	403323
19	7	10.890239	403323
19	8	8.112911	403272
19	9	3.605006	403272
20	1	25.123576	403323
20	2	1756.914166	403323
20	3	63.446069	403323
20	4	209.263367	403323
20	5	42.900935	403323
20	6	4.253769	403323
20	7	8.808017	403323
20	8	13.951795	403323
20	9	3.459761	403323
21	1	642.498950	403323
21	2	954.964262	403323
21	3	65.109389	403323
21	4	35.400004	403323
21	5	83.943356	403272
21	6	9.533681	403222
21	7	3.790689	403323
21	8	25.391416	403272
21	9	13.152029	403272
22	1	485.150093	403323
22	2	1787.275162	403323
22	3	280.349058	403323
22	4	55.492580	403323
22	5	73.078862	403323
22	6	8.352469	403122
22	7	53.465138	403323
22	8	2.692055	403172
22	9	19.303447	403323
23	1	1034.658047	403272
23	2	54.655700	403323
23	3	102.729502	403323
23	4	242.652582	403272
23	5	79.035855	403323
23	6	13.557804	403323
23	7	12.407474	403272
23	8	32.210645	403323
23	9	2.540320	403172
24	1	97.201156	403323
24	2	907.608118	403323
24	3	95.016255	403323
24	4	300.736353	403323
24	5	27.938521	403323
24	6	20.199889	403323
24	7	1.867836	403272
24	8	17.505530	403272
24	9	9.495799	403272
25	1	568.927160	403323
25	2	375.548084	403323
25	3	41.030425	403323
25	4	127.783241	403272
25	5	29.337310	403323
25	6	3.506306	403272
25	7	3.039621	403323
25	8	14.648711	403272
25	9	18.606893	403272
26	1	1477.191814	403323
26	2	2213.963392	403323
26	3	135.609772	403323
26	4	109.592354	403323
26	5	16.758977	403323
26	6	8.982347	403323
26	7	3.714108	403323
26	8	37.052325	403323
26	9	14.940765	403323
27	1	194.464935	403323
27	2	101.114923	403323
27	3	106.034208	403323
27	4	81.303595	403323
27	5	56.018908	403323
27	6	10.136561	403323
27	7	1.916697	403323
27	8	8.107347	403272
27	9	66.346469	403323
28	1	413.198375	403323
28	2	78.258701	403272
28	3	19.810232	403323
28	4	47.275306	403272
28	5	141.235134	403323
28	6	22.395825	403272
28	7	11.230331	403272
28	8	6.709342	403323
28	9	16.256816	403323
29	1	272.053867	403323
29	2	354.680499	403323
29	3	24.942096	403323
29	4	51.599355	403222
29	5	228.726450	403323
29	6	31.375982	403323
29	7	9.076985	403272
29	8	15.995076	403323
29	9	14.533320	403272
30	1	803.355747	403323
30	2	122.214642	403272
30	3	137.724181	403272
30	4	16.932946	403272
30	5	39.381074	403323
30	6	15.397443	403323
30	7	8.537872	403222
30	8	23.933539	403272
30	9	8.945669	403272
31	1	1024.764315	403323
31	2	34.669079	403323
31	3	23.636578	403272
31	4	76.632414	403323
31	5	230.472425	403323
31	6	14.594035	403323
31	7	17.213841	403323
31	8	13.188923	403323
31	9	21.310327	403323
32	1	54.307458	403323
32	2	845.807065	403323
32	3	138.596066	403323
32	4	102.795382	403323
32	5	60.955537	403323
32	6	31.625968	403222
32	7	4.021120	403323
32	8	9.489640	403323
32	9	9.571629	403323
33	1	657.000117	403323
33	2	540.459991	403323
33	3	73.262150	403323
33	4	26.685349	403323
33	5	45.721933	403323
33	6	71.021301	403323
33	7	20.435587	403272
33	8	5.610841	403272
33	9	10.400918	403272
34	1	475.895114	403323
34	2	357.718623	403323
34	3	171.788981	403323
34	4	85.529476	403272
34	5	82.870751	403323
34	6	12.553884	403272
34	7	25.514047	403323
34	8	23.075988	403272
34	9	7.898962	403323
35	1	2232.972248	403323
35	2	121.061368	403323
35	3	107.435609	403323
35	4	93.011693	403323
35	5	91.978501	403323
35	6	2.449674	403272
35	7	7.527014	403323
35	8	11.703439	403323
35	9	5.835789	403323
