NodeID	PortID	AverageQueueLength	SampleCount
0	1	66.800490	381666
0	2	412.254890	381616
0	3	42.886272	381717
0	4	55.489672	381717
0	5	25.244882	381666
0	6	1.997542	381666
0	7	9.214161	381717
0	8	12.827519	381717
0	9	14.138336	381666
1	1	1314.411132	381717
1	2	677.576734	381717
1	3	63.216063	381666
1	4	109.525510	381717
1	5	70.615731	381717
1	6	24.519786	381717
1	7	8.793522	381717
1	8	49.237616	381666
1	9	55.273849	381616
2	1	887.074280	381717
2	2	791.085220	381717
2	3	70.314843	381717
2	4	64.125276	381717
2	5	42.154651	381717
2	6	37.851317	381717
2	7	26.902590	381717
2	8	17.447129	381666
2	9	26.820888	381717
3	1	731.304414	381717
3	2	24.105969	381717
3	3	159.430680	381666
3	4	91.700406	381717
3	5	54.220768	381717
3	6	20.347977	381666
3	7	36.868190	381717
3	8	22.041877	381717
3	9	1.054842	381717
4	1	83.403254	381717
4	2	583.511387	381717
4	3	79.815958	381717
4	4	159.906928	381717
4	5	4.989901	381717
4	6	14.487248	381717
4	7	24.903148	381717
4	8	12.891213	381717
4	9	24.498682	381666
5	1	323.289419	381717
5	2	410.518759	381717
5	3	92.576775	381717
5	4	96.034007	381717
5	5	77.014964	381717
5	6	12.893243	381717
5	7	17.431498	381717
5	8	20.716581	381717
5	9	9.124431	381666
6	1	404.022231	381717
6	2	701.734800	381666
6	3	147.978977	381717
6	4	70.734399	381666
6	5	58.794016	381666
6	6	22.854758	381666
6	7	7.457341	381516
6	8	9.587692	381717
6	9	2.769495	381666
7	1	36.225934	381717
7	2	215.494760	381666
7	3	48.931486	381717
7	4	153.880741	381717
7	5	59.283029	381717
7	6	2.031494	381566
7	7	10.080494	381666
7	8	40.887031	381717
7	9	3.065266	381717
8	1	35.485496	381717
8	2	188.414797	381717
8	3	35.795449	381666
8	4	80.302968	381717
8	5	33.948926	381717
8	6	7.128302	381717
8	7	7.239981	381717
8	8	8.831947	381666
8	9	9.089958	381666
9	1	328.111253	381717
9	2	416.814677	381717
9	3	84.372441	381666
9	4	91.933917	381717
9	5	110.448998	381717
9	6	27.725517	381717
9	7	11.447667	381717
9	8	4.579923	381666
9	9	9.710120	381717
10	1	742.608556	381717
10	2	1098.770395	381717
10	3	16.793433	381717
10	4	49.004778	381717
10	5	153.103247	381717
10	6	3.965582	381717
10	7	45.976925	381717
10	8	18.595944	381717
10	9	20.024243	381717
11	1	412.313303	381717
11	2	47.839234	381717
11	3	44.088458	381717
11	4	85.423494	381717
11	5	240.562055	381717
11	6	46.593599	381717
11	7	13.808222	381717
11	8	20.444112	381717
11	9	28.945913	381717
12	1	62.741808	381666
12	2	579.248045	381717
12	3	327.739379	381666
