NodeID	PortID	AverageQueueLength	SampleCount
0	1	95.425799	106313
0	2	1811.960466	106364
0	3	123.487795	106313
0	4	298.370840	106364
0	5	67.276344	106313
0	6	16.881031	106313
0	7	12.746803	106364
0	8	70.736997	106364
0	9	29.253553	106313
1	1	1143.815219	106364
1	2	704.997753	106364
1	3	156.315511	106364
1	4	274.475321	106364
1	5	269.615509	106364
1	6	21.020411	106364
1	7	74.440422	106364
1	8	94.436663	106313
1	9	49.032194	106263
2	1	1133.399552	106364
2	2	747.631605	106364
2	3	167.874676	106364
2	4	129.713672	106364
2	5	49.458933	106364
2	6	86.272940	106364
2	7	93.311844	106364
2	8	21.864429	106313
2	9	40.999596	106364
3	1	690.778355	106364
3	2	51.092823	106364
3	3	144.838957	106313
3	4	248.898236	106364
3	5	142.650982	106364
3	6	123.078034	106313
3	7	39.406378	106364
3	8	73.082189	106364
3	9	14.209789	106364
4	1	213.652467	106364
4	2	506.640235	106364
4	3	148.388148	106364
4	4	651.149759	106364
4	5	48.029879	106364
4	6	72.598849	106364
4	7	140.549866	106364
4	8	55.308516	106364
4	9	13.303227	106313
5	1	392.940929	106364
5	2	738.805272	106364
5	3	167.409434	106364
5	4	314.473450	106364
5	5	187.382846	106364
5	6	10.762730	106364
5	7	5.986480	106364
5	8	115.808178	106364
5	9	14.070979	106313
6	1	939.313546	106364
6	2	812.662057	106364
6	3	342.789788	106364
6	4	162.776801	106313
6	5	232.143780	106364
6	6	11.830002	106313
6	7	12.732006	106163
6	8	20.807341	106364
6	9	1.207538	106313
7	1	222.194859	106364
7	2	917.417726	106364
7	3	159.996578	106364
7	4	548.619928	106364
7	5	144.690800	106313
7	6	5.863642	106213
7	7	4.719432	106313
7	8	62.977286	106364
7	9	2.075223	106364
8	1	41.258433	106364
8	2	222.023908	106364
8	3	62.954271	106213
8	4	359.310509	106364
8	5	129.960193	106313
8	6	32.786892	106364
8	7	28.812361	106364
8	8	14.924384	106313
8	9	4.461825	106313
9	1	938.898791	106364
