NodeID	PortID	AverageQueueLength	SampleCount
0	1	57058.020420	30803
0	2	71969.232023	30803
0	3	78922.989774	30803
0	4	56026.831250	30803
0	5	79195.194040	30803
0	6	6123.083953	30803
0	7	64177.017628	30803
0	8	67280.804532	30803
1	1	7802.326624	30803
1	2	214896.490861	30803
1	3	4552.633997	30803
1	4	46144.118949	30803
1	5	15540.495406	30803
1	6	12192.663344	30803
1	7	25010.165211	30803
1	8	53877.166153	30803
2	1	5525.871863	30803
2	2	25854.015161	30803
2	3	135064.499594	30803
2	4	142832.982274	30803
2	5	11736.779924	30803
2	6	64871.926631	30803
2	7	30437.548161	30803
2	8	127639.419245	30803
3	1	21147.810992	30803
3	2	11760.612603	30803
3	3	53738.771938	30803
3	4	77651.213064	30803
3	5	8797.139142	30803
3	6	195947.374899	30803
3	7	6544.842191	30803
3	8	87778.803915	30803
4	1	156683.634873	30803
4	2	216055.537350	30803
4	3	169213.382495	30803
4	4	179958.162549	30803
4	5	183071.894264	30803
4	6	230742.013830	30803
4	7	45834.486901	30803
4	8	472484.091647	30803
5	1	86192.716002	30803
5	2	271084.778236	30803
5	3	42247.230497	30803
5	4	47160.289095	30803
5	5	18598.304191	30803
5	6	22123.760413	30803
5	7	84967.942376	30803
5	8	64785.761582	30803
6	1	76155.828166	30803
6	2	22016.980197	30803
6	3	86519.896504	30803
6	4	70339.645197	30803
6	5	23296.235269	30803
6	6	90878.529981	30803
6	7	24782.501834	30803
6	8	111814.803396	30803
7	1	36906.722592	30803
7	2	187368.503587	30803
7	3	41215.901243	30803
7	4	17347.315781	30803
7	5	95636.360777	30803
7	6	42282.732461	30803
7	7	124434.060351	30803
7	8	260137.047982	30803
8	1	21556.442035	30803
8	2	1062815.449339	30803
8	3	41.236308	30803
9	1	24686.272636	30803
9	2	809870.143298	30803
9	3	27.523163	30652
10	1	24174.336591	30803
10	2	1046280.932442	30803
10	3	13.733871	30752
11	1	36626.135052	30803
11	2	1234157.770022	30803
11	3	25.708502	30803
12	1	57334.365809	30803
12	2	1697767.611661	30803
12	3	22.978151	30803
13	1	4090.818719	30803
13	2	1044584.454501	30803
13	3	40.869201	30803
14	1	57428.253417	30803
14	2	1659051.584618	30803
14	3	44.311983	30803
15	1	66645.125507	30803
15	2	1805930.050385	30803
15	3	31.595169	30803
16	1	193851.269876	30803
16	2	1430228.144824	30803
16	3	35.321105	30803
17	1	438.049833	30803
17	2	742248.947927	30803
17	3	60.816739	30803
18	1	46005.602311	30803
18	2	1176267.903418	30803
18	3	23.098530	30752
19	1	20051.623576	30803
19	2	1179242.747135	30803
19	3	25.745317	30752
20	1	28413.972178	30803
20	2	1614722.535662	30803
20	3	32.104730	30803
21	1	18327.067948	30803
21	2	1477915.860728	30803
21	3	48.631926	30752
22	1	1999.604065	30803
22	2	1334446.446742	30803
22	3	31.860760	30803
23	1	40377.742915	30803
23	2	1983572.482908	30803
23	3	39.486641	30803
24	1	40688.160179	30803
24	2	873996.599097	30803
24	3	30.386446	30752
25	1	175396.957861	30803
25	2	1405709.253319	30803
25	3	13.404928	30803
26	1	17023.884719	30803
26	2	1190998.457975	30803
26	3	42.780151	30803
27	1	28653.302665	30803
27	2	881410.844463	30803
27	3	20.361472	30752
28	1	71555.084375	30803
28	2	1990672.156348	30803
28	3	35.275884	30752
29	1	39901.362302	30803
29	2	1623673.938675	30803
29	3	24.927442	30803
30	1	6623.024998	30803
30	2	828089.743239	30803
30	3	45.057651	30702
31	1	22846.965945	30803
31	2	1835829.032399	30803
31	3	25.172159	30803
32	1	100681.632925	30803
32	2	1179087.579229	30803
32	3	62.008162	30752
33	1	13488.112619	30803
33	2	1083421.502289	30803
33	3	33.959582	30803
34	1	17726.539168	30803
34	2	1170605.548096	30803
34	3	33.723595	30752
35	1	11020.944843	30803
35	2	925049.817550	30803
35	3	26.281933	30752
36	1	45761.510405	30803
36	2	2067213.323897	30803
36	3	24.112936	30752
37	1	51297.099309	30803
37	2	1306972.643379	30803
37	3	25.244814	30803
38	1	103770.325001	30803
38	2	1470788.395838	30803
38	3	31.366480	30752
39	1	46306.415576	30803
39	2	2128717.811512	30803
39	3	20.821868	30803
40	1	16674.138363	30803
40	2	419328.978963	30803
40	3	19.767166	30803
41	1	83509.178164	30803
41	2	1000241.839204	30803
41	3	25.231614	30702
42	1	4227.461676	30803
42	2	886169.395124	30803
42	3	15.730817	30652
43	1	6408.285946	30803
43	2	935787.348797	30803
43	3	16.527218	30752
44	1	66063.738305	30803
44	2	1797761.402785	30803
44	3	41.281434	30803
45	1	115398.763205	30803
45	2	1406746.048826	30803
45	3	16.638801	30803
46	1	93787.259033	30803
46	2	1317643.636107	30803
46	3	27.013992	30803
47	1	9230.094439	30803
47	2	1857284.926598	30803
47	3	53.325975	30803
48	1	19633.835958	30803
48	2	1299245.125735	30803
48	3	19.668474	30803
49	1	4128.474207	30803
49	2	753435.298835	30803
49	3	19.034344	30602
50	1	34122.895660	30803
50	2	1194040.372042	30803
50	3	22.289883	30702
51	1	760.950654	30803
