NodeID	PortID	AverageQueueLength	SampleCount
0	1	45189.857686	29203
0	2	45336.725816	29203
0	3	28381.818135	29203
0	4	34958.020477	29203
0	5	27022.449166	29203
0	6	21907.983495	29203
0	7	29285.640208	29203
0	8	28794.243228	29203
1	1	27719.150019	29203
1	2	69028.223094	29203
1	3	7932.987844	29203
1	4	36004.799199	29203
1	5	17952.051844	29203
1	6	25308.458788	29203
1	7	23026.672979	29203
1	8	37489.367291	29203
2	1	28683.155498	29203
2	2	28860.531623	29203
2	3	24054.849878	29203
2	4	55364.926514	29203
2	5	28073.440914	29203
2	6	25783.647057	29203
2	7	35293.424991	29203
2	8	46924.700613	29203
3	1	21756.158614	29203
3	2	16700.496353	29203
3	3	18826.519844	29203
3	4	38707.097695	29203
3	5	23052.887922	29203
3	6	52228.228778	29203
3	7	32736.727870	29203
3	8	23733.837551	29203
4	1	26197.514639	29203
4	2	43252.302092	29203
4	3	32993.084820	29203
4	4	30861.704654	29203
4	5	28557.352703	29203
4	6	16518.738691	29203
4	7	23894.655207	29203
4	8	53112.593535	29203
5	1	29397.090265	29203
5	2	37248.020409	29203
5	3	16968.990686	29203
5	4	43001.599425	29203
5	5	11009.251686	29203
5	6	28639.159538	29203
5	7	26664.379516	29203
5	8	36261.742047	29203
6	1	40077.523782	29203
6	2	31520.000993	29203
6	3	42941.425949	29203
6	4	30261.894120	29203
6	5	22634.284628	29203
6	6	14344.351745	29203
6	7	12218.928980	29203
6	8	39247.281067	29203
7	1	26334.753073	29203
7	2	32400.330959	29203
7	3	17150.077081	29203
7	4	11631.222066	29203
7	5	44296.574599	29203
7	6	14691.910283	29203
7	7	37116.959525	29203
7	8	30742.914358	29203
8	1	14807.399137	29203
8	2	124223.267267	29203
8	3	50.150498	29203
9	1	19750.438448	29203
9	2	111693.665411	29203
9	3	34.300943	29052
10	1	32333.671917	29203
10	2	111329.994727	29203
10	3	22.201324	29152
11	1	35073.751772	29203
11	2	136160.278841	29203
11	3	38.411944	29203
12	1	42415.728042	29203
12	2	165008.298257	29203
12	3	34.750265	29203
13	1	18587.254323	29203
13	2	131160.153101	29203
13	3	54.727254	29203
14	1	28849.471595	29203
14	2	160284.782968	29203
14	3	57.073451	29203
15	1	33576.020991	29203
15	2	183705.267541	29203
15	3	42.979043	29203
16	1	68564.383283	29203
16	2	163875.942472	29203
16	3	49.051844	29203
17	1	13200.535733	29203
17	2	111148.034585	29203
17	3	69.476698	29203
18	1	30694.949834	29203
18	2	126125.900764	29203
18	3	30.775041	29152
19	1	34115.706708	29203
19	2	128661.456323	29203
19	3	32.390505	29152
20	1	23499.442797	29203
20	2	155765.228778	29203
20	3	45.428209	29203
21	1	18542.032736	29203
21	2	149422.785365	29203
21	3	55.850336	29152
22	1	18676.518132	29203
22	2	151056.206897	29203
22	3	45.145499	29203
23	1	36077.309934	29203
23	2	210287.173818	29203
23	3	53.152793	29203
24	1	34025.832620	29203
24	2	115087.392973	29203
24	3	38.935236	29152
25	1	44320.253399	29203
25	2	180359.386981	29203
25	3	24.405677	29203
26	1	15522.580214	29203
26	2	147224.979386	29203
26	3	49.599117	29203
27	1	25993.876622	29203
27	2	131734.758210	29203
27	3	23.300048	29152
28	1	27789.726021	29203
28	2	159650.112728	29203
28	3	45.190622	29152
29	1	18209.960210	29203
29	2	144913.610485	29203
29	3	33.263980	29203
30	1	18164.267404	29203
30	2	110588.369928	29203
30	3	52.610886	29102
31	1	24000.229839	29203
31	2	251099.892203	29203
31	3	35.512858	29203
32	1	35880.343800	29203
32	2	171122.265144	29203
32	3	77.132238	29152
33	1	32162.802041	29203
33	2	150491.062391	29203
33	3	43.946547	29203
34	1	24043.022806	29203
34	2	141076.494709	29203
34	3	41.593578	29152
35	1	18434.993357	29203
35	2	101241.205938	29203
35	3	31.743036	29152
36	1	52961.186625	29203
36	2	231220.904770	29203
36	3	37.459385	29152
37	1	22872.831387	29203
37	2	140808.303496	29203
37	3	34.425299	29203
38	1	35875.266377	29203
38	2	150835.248296	29203
38	3	40.407245	29152
39	1	35447.613293	29203
39	2	220243.602815	29203
39	3	25.156594	29203
40	1	12286.659727	29203
40	2	63086.197685	29203
40	3	25.408485	29203
41	1	44717.646954	29203
41	2	138230.522583	29203
41	3	27.552883	29102
42	1	28102.554464	29203
42	2	117125.872787	29203
42	3	21.535729	29052
43	1	19598.312434	29203
43	2	112547.248639	29203
43	3	28.220191	29152
44	1	42188.439989	29203
44	2	172915.933226	29203
44	3	56.455501	29203
45	1	40248.921446	29203
45	2	149030.913913	29203
45	3	26.481937	29203
46	1	33317.577475	29203
46	2	156411.215834	29203
46	3	38.655481	29203
47	1	16659.040407	29203
47	2	190410.526350	29203
47	3	70.182276	29203
48	1	29703.541657	29203
48	2	137200.916550	29203
48	3	29.812964	29203
49	1	15128.791494	29203
49	2	102385.305071	29203
49	3	21.903972	29002
50	1	50233.612951	29203
50	2	136218.783344	29203
50	3	28.373205	29102
51	1	6904.897305	29203
51	2	73568.860802	29203
51	3	87.493956	29203
52	1	64090.619936	29203
52	2	193060.440434	29203
52	3	33.388179	29203
53	1	26994.214019	29203
53	2	125713.999692	29203
53	3	29.638941	29203
54	1	50103.073006	29203
54	2	203656.534089	29203
54	3	29.017327	29203
55	1	64769.866863	29203
55	2	223541.402493	29203
55	3	14.245249	29203
56	1	19910.133377	29203
56	2	129686.139814	29203
56	3	39.885902	29203
57	1	19169.774989	29203
57	2	128208.076944	29203
57	3	51.210355	29203
58	1	45414.610965	29203
58	2	135345.825326	29203
58	3	32.599890	29152
59	1	10664.949731	29203
59	2	110891.241345	29203
59	3	29.837464	29052
60	1	24788.776770	29203
60	2	144852.589186	29203
60	3	31.752401	29152
61	1	26779.584837	29203
61	2	144813.073691	29203
61	3	29.301716	29203
62	1	25499.986097	29203
