NodeID	PortID	AverageQueueLength	SampleCount
0	1	3578.813527	154333
0	2	2184.739874	154333
0	3	3651.668886	154282
0	4	1703.615021	154333
0	5	3842.305481	154232
0	6	499.036823	154333
0	7	1766.880427	154282
0	8	2580.425826	154333
1	1	2505.766501	154232
1	2	4902.300940	154333
1	3	790.213260	154333
1	4	2587.598699	154333
1	5	1911.856104	154132
1	6	3084.648870	154282
1	7	1869.370627	154333
1	8	3923.672027	154333
2	1	2789.669539	154333
2	2	1034.806646	154282
2	3	3800.147506	154333
2	4	4213.027173	154232
2	5	4536.278302	154232
2	6	3848.549358	154333
2	7	2564.624261	154232
2	8	1378.153146	154232
3	1	1215.028827	154333
3	2	893.749154	154282
3	3	1416.616345	154282
3	4	1915.387952	154282
3	5	1248.448549	154282
3	6	6681.403971	154333
3	7	4368.515627	154282
3	8	8777.806071	154232
4	1	3247.555399	154282
4	2	965.978475	154333
4	3	426.606513	154282
4	4	3943.144568	154232
4	5	3743.806399	154333
4	6	4074.165936	154282
4	7	3895.441464	154282
4	8	3398.241506	154282
5	1	832.431048	154333
5	2	7323.300469	154282
5	3	931.022315	154333
5	4	7904.354901	154333
5	5	932.342014	154333
5	6	1753.945618	154333
5	7	3084.739989	154282
5	8	2327.908322	154333
6	1	2002.950380	154333
6	2	6593.071100	154333
6	3	2515.132290	154282
6	4	1838.216571	154282
6	5	2354.935743	154333
6	6	1670.778051	154333
6	7	1202.380625	154333
6	8	3632.387642	154333
7	1	6226.405728	154182
7	2	6883.277977	154333
7	3	3158.965536	154333
7	4	1729.070840	154333
7	5	5660.062961	154333
7	6	3566.059825	154333
7	7	2888.411707	154333
7	8	3646.442951	154333
8	1	2335.328679	154333
8	2	987.681008	154333
8	3	2.581075	154333
9	1	5500.035714	154282
9	2	646.011321	154232
9	3	2.283846	154182
10	1	1547.997401	154282
10	2	2674.802991	154333
10	3	1.299030	154282
11	1	5622.969186	154282
11	2	1008.411254	154333
11	3	2.505265	154333
12	1	2962.612714	154333
12	2	5376.121264	154333
12	3	1.679544	154333
13	1	1575.756293	154333
13	2	1436.587269	154333
13	3	3.375785	154333
14	1	5302.065350	154232
14	2	1677.397582	154333
14	3	3.689418	154333
15	1	3271.863600	154333
15	2	4341.433763	154333
15	3	2.444584	154333
16	1	8914.078116	154232
16	2	2127.240143	154333
16	3	2.722995	154333
17	1	647.536405	154333
17	2	2421.788483	154333
17	3	4.321150	154333
18	1	1541.635667	154282
18	2	1192.746503	154282
18	3	2.082427	154282
19	1	1504.857075	154333
19	2	1507.737364	154282
19	3	3.034839	154282
20	1	2613.422146	154333
20	2	2310.550589	154333
20	3	2.108914	154333
21	1	4531.622945	154333
21	2	999.238309	154182
21	3	3.920580	154282
22	1	873.246992	154333
22	2	8181.223342	154333
22	3	1.942086	154333
23	1	2274.429072	154333
23	2	8677.224158	154333
23	3	3.142056	154333
24	1	4850.474442	154333
24	2	906.165372	154282
24	3	2.683139	154282
25	1	1667.958414	154282
25	2	3449.311962	154333
25	3	1.199620	154333
26	1	3656.604790	154333
26	2	2115.719062	154333
26	3	3.713081	154333
27	1	2877.393455	154282
27	2	4814.333143	154282
27	3	1.935935	154282
28	1	1605.260678	154282
28	2	2429.000065	154282
28	3	2.757859	154282
29	1	3250.403342	154333
29	2	4211.854911	154333
29	3	1.788412	154333
30	1	1043.136075	154282
30	2	1748.781608	154282
30	3	2.745163	154232
31	1	3719.279312	154333
31	2	11494.374118	154232
31	3	2.053378	154333
32	1	2131.501623	154333
32	2	2951.669896	154333
32	3	2.941263	154282
33	1	1399.539152	154333
33	2	3442.318482	154282
33	3	3.071145	154333
34	1	2311.356594	154282
34	2	5820.647199	154132
34	3	2.372824	154282
35	1	2301.190424	154282
35	2	940.681253	154282
35	3	1.889339	154282
36	1	2384.790578	154282
36	2	9432.872707	154282
36	3	3.019970	154282
37	1	4346.592692	154333
37	2	5192.741849	154282
37	3	2.512489	154333
38	1	7879.238946	154282
38	2	1549.007123	154282
38	3	2.418221	154282
39	1	2465.314677	154333
39	2	4553.022108	154333
39	3	2.065780	154333
40	1	346.157529	154333
40	2	1080.189882	154333
40	3	1.880972	154333
41	1	4209.347929	154132
41	2	4272.582927	154232
41	3	1.895793	154232
42	1	2966.388188	154232
42	2	2090.368892	154232
