NodeID	PortID	AverageQueueLength	SampleCount
0	1	2072.291950	143076
0	2	1839.354071	143076
0	3	2588.072206	143076
0	4	2443.384614	143076
0	5	1491.475824	143076
0	6	1193.108802	143076
0	7	3821.910418	143076
0	8	2517.423977	143076
1	1	1798.212264	143025
1	2	2690.956203	143025
1	3	909.487323	142975
1	4	2676.581614	143076
1	5	1270.369813	142975
1	6	974.910362	143076
1	7	1687.332739	143076
1	8	2462.459668	143025
2	1	1266.682014	142975
2	2	1842.518356	142925
2	3	1789.711414	143025
2	4	6212.704612	143076
2	5	1674.302172	142975
2	6	2012.033094	143076
2	7	2113.465606	142975
2	8	3324.672684	143076
3	1	2750.319676	143076
3	2	845.939850	143076
3	3	2650.265319	142975
3	4	1213.323790	143025
3	5	846.410159	143025
3	6	4437.248288	143076
3	7	2794.049005	143025
3	8	3273.667935	142975
4	1	3913.948121	143025
4	2	6077.354252	143076
4	3	970.011201	143025
4	4	3227.270701	143025
4	5	1884.255899	143076
4	6	1289.976494	143025
4	7	2273.590897	143025
4	8	2619.663982	143025
5	1	3357.953836	143076
5	2	3421.291272	143076
5	3	726.444768	143025
5	4	1173.072891	143076
5	5	1596.408091	143076
5	6	2023.687943	143025
5	7	2945.086139	143025
5	8	2421.809750	142975
6	1	2247.038134	143076
6	2	4469.427423	143076
6	3	2916.962440	143025
6	4	1184.928796	143025
6	5	2747.073409	143076
6	6	1221.387668	143076
6	7	1063.955870	143076
6	8	1716.039063	143076
7	1	2594.064197	143076
7	2	4569.768508	143076
7	3	2866.698202	143076
7	4	1799.304006	143076
7	5	6693.906595	143076
7	6	2794.155281	143076
7	7	4144.427682	143076
7	8	1741.399431	143076
8	1	1319.202955	143076
8	2	2297.806082	143076
8	3	3.957114	143076
9	1	2627.870939	143025
9	2	4841.003216	143025
9	3	2.348455	142925
10	1	1987.959315	143076
10	2	5644.735165	143025
10	3	1.568817	143025
11	1	5219.225468	143076
11	2	2983.709993	143076
11	3	3.042027	143076
12	1	3180.052033	143025
12	2	1580.155057	143076
12	3	2.439004	143076
13	1	5219.220954	143025
13	2	1653.427947	143076
13	3	5.242633	143076
14	1	2981.873683	143076
14	2	4219.995296	143076
14	3	4.758520	143076
15	1	2259.026014	143076
15	2	3178.062386	143076
15	3	2.790741	143076
16	1	5849.663004	143076
16	2	3603.627331	143076
16	3	3.194694	143076
17	1	1689.181253	143076
17	2	1342.311883	143076
17	3	5.350842	143076
18	1	1358.969131	143025
18	2	1393.764623	142975
18	3	2.594497	143025
19	1	3593.017089	143076
19	2	2792.446462	143076
19	3	3.237812	143025
20	1	3409.393714	143076
20	2	2320.832194	143076
20	3	2.843286	143076
21	1	2074.055473	143025
21	2	5832.567258	143076
21	3	5.007502	143025
22	1	1134.148837	143076
22	2	4998.571717	143076
22	3	2.856664	143076
23	1	2426.867874	143076
23	2	7428.040685	143076
23	3	3.977243	143076
24	1	1906.477655	143076
24	2	1679.356566	143076
24	3	3.180087	143025
25	1	4563.077175	143025
25	2	2313.634509	143076
25	3	1.534199	143076
26	1	2532.605734	143076
26	2	2388.272652	143076
26	3	4.248385	143076
27	1	4141.894606	143025
27	2	1565.881979	143025
27	3	2.296361	143025
28	1	2778.257130	143025
28	2	3902.136571	143025
28	3	3.136123	143025
29	1	3388.557822	143076
29	2	1603.452745	143076
29	3	2.160810	143076
30	1	2242.852135	142975
30	2	2384.195511	143025
30	3	3.496262	142975
31	1	5079.535093	143076
31	2	2548.707904	143025
31	3	3.021751	143076
32	1	3502.666960	143076
32	2	2648.673146	143076
32	3	4.587345	143025
33	1	2209.852704	143025
33	2	2991.266446	143076
33	3	3.337233	143076
34	1	3647.348109	143076
34	2	5129.835752	143076
34	3	3.418829	143025
35	1	1698.346995	143025
35	2	3207.265010	143025
35	3	2.711134	143025
36	1	6465.901863	143025
36	2	8890.286936	143025
36	3	3.851802	143025
37	1	2112.710552	143076
37	2	6428.922049	143025
37	3	3.113352	143076
38	1	2441.556476	143025
38	2	2909.141745	142975
38	3	3.121468	143025
39	1	4762.338137	143025
39	2	3489.767229	143076
39	3	2.879833	143076
40	1	1179.059136	143076
40	2	841.984270	142975
40	3	2.512399	143076
41	1	6441.365679	142975
41	2	4525.994613	142925
41	3	2.545298	142975
42	1	1573.138129	142975
42	2	1440.885421	142975
42	3	2.679958	142925
43	1	1764.802307	143025
43	2	1582.260234	143025
43	3	2.576913	143025
44	1	4648.282920	143076
44	2	2871.070718	143076
44	3	3.618441	143076
45	1	2587.992843	143076
45	2	3397.094775	143076
45	3	2.094153	143076
46	1	4235.468185	143076
46	2	2125.913216	142975
46	3	2.850457	143076
47	1	4546.787155	143076
47	2	3907.958251	142975
47	3	3.809968	143076
48	1	1770.887647	143076
48	2	4371.043644	142975
48	3	2.483100	143076
49	1	1345.684616	142975
49	2	1573.899193	143076
49	3	1.931773	142875
50	1	5141.409988	142875
50	2	3066.183308	143076
50	3	2.405539	142975
51	1	599.382472	142975
51	2	774.808619	143076
51	3	6.368420	143076
52	1	9562.251474	143025
52	2	4206.673125	143076
52	3	3.239048	143076
53	1	2664.219841	143076
53	2	2258.893270	143025
53	3	3.151332	143076
54	1	4686.931812	143076
54	2	3233.941975	143076
54	3	2.493696	143076
55	1	8393.997917	143076
55	2	3388.823171	143076
55	3	1.494255	143076
56	1	3064.398497	143025
56	2	2872.300414	143076
56	3	2.995834	143076
57	1	4282.174851	143076
57	2	5276.914940	143076
57	3	3.443848	143076
58	1	5853.413653	142975
58	2	1192.428499	143025
58	3	2.422073	143025
59	1	686.809682	143076
59	2	1811.797469	143025
59	3	2.555377	142975
60	1	1517.311639	142925
60	2	1990.058780	143025
60	3	3.016011	143025
61	1	3082.654899	143025
61	2	4646.134041	143076
61	3	2.226733	143076
62	1	2449.649871	143076
62	2	2521.946993	143076
62	3	2.973860	143076
63	1	1059.871124	143076
63	2	4516.812379	143076
63	3	4.460790	143076
64	1	2827.546968	143076
64	2	616.019367	143025
64	3	2.439906	143076
65	1	1362.195721	143025
65	2	2653.703444	143076
65	3	3.055432	143076
66	1	2882.436866	143076
66	2	3377.594740	143076
66	3	4.383950	143076
67	1	6505.753864	142925
67	2	3301.328831	143025
67	3	2.142304	143025
68	1	1138.443748	143025
68	2	3623.328811	143076
68	3	4.996827	143076
69	1	1195.882440	143076
69	2	2215.215347	143076
69	3	3.602149	143076
70	1	1072.470537	142975
70	2	2363.265307	143076
70	3	2.397630	143025
71	1	3923.663452	143076
71	2	2439.742326	143076
71	3	4.072577	143076
72	1	3819.851666	143076
72	2	2330.166656	143025
72	3	708.379861	143076
72	4	3294.533283	143076
72	5	2637.633831	143076
72	6	10985.401947	143076
72	7	4628.646188	143076
72	8	2121.204031	143076
73	1	1706.959287	143076
73	2	5553.971756	143076
73	3	2353.229715	143025
73	4	2357.454674	143076
73	5	5116.021932	143076
73	6	9534.251167	142925
73	7	1230.660544	143076
73	8	2532.160691	143076
74	1	2711.275860	143076
74	2	1582.441451	143076
74	3	4548.771366	143076
74	4	2253.653746	143025
74	5	1962.331229	143025
74	6	1159.177004	143076
74	7	2071.666550	142975
74	8	1835.205583	143076
75	1	4066.241242	143076
75	2	1685.401297	143076
75	3	3208.922342	143076
75	4	3248.335899	143025
75	5	5790.729124	143025
75	6	5194.314169	143025
75	7	6193.859843	143025
75	8	2364.783157	143076
76	1	2821.168246	143076
76	2	2954.632747	142975
76	3	989.947075	142975
76	4	2201.113834	142875
76	5	2082.269617	142925
76	6	1357.038923	142975
76	7	2674.970568	143076
76	8	3187.594642	142975
77	1	3449.578462	143076
77	2	3921.356594	142975
77	3	1740.878475	142975
77	4	3829.036013	142975
77	5	3775.045766	143076
77	6	1469.449852	143076
77	7	2473.085619	143076
77	8	1052.286917	143076
78	1	2262.532166	143025
78	2	3850.439165	143076
78	3	797.911757	143025
78	4	1584.423258	143076
78	5	1798.573105	142925
78	6	1756.467668	143076
78	7	4417.762322	143076
78	8	6488.976900	143076
79	1	3054.024029	143076
79	2	1250.142141	143076
79	3	3318.183895	143076
79	4	4499.493753	143025
79	5	3148.782577	143076
79	6	2761.121746	143076
79	7	926.761748	143025
79	8	2204.761525	143076
