NodeID	PortID	AverageQueueLength	SampleCount
0	1	2060.705298	59511
0	2	3172.528188	59511
0	3	1929.546519	59460
0	4	3074.648704	59511
0	5	1884.402592	59410
0	6	675.762380	59511
0	7	3318.320905	59460
0	8	2672.446203	59511
1	1	1611.247265	59410
1	2	3026.690309	59511
1	3	732.856195	59511
1	4	3479.746400	59511
1	5	1023.159181	59310
1	6	948.007282	59460
1	7	1624.983516	59511
1	8	1608.879619	59511
2	1	1415.870595	59511
2	2	993.487252	59460
2	3	4660.999714	59511
2	4	5485.284464	59410
2	5	1825.334371	59410
2	6	1906.629262	59511
2	7	4573.417202	59410
2	8	2984.949217	59410
3	1	2391.063350	59511
3	2	1588.150807	59460
3	3	1688.243794	59460
3	4	2169.992550	59460
3	5	1612.719475	59460
3	6	2168.753121	59511
3	7	3666.606879	59460
3	8	3380.554503	59410
4	1	3817.050151	59460
4	2	2999.539850	59511
4	3	1861.358914	59460
4	4	2130.929473	59410
4	5	1481.986826	59511
4	6	2585.851211	59460
4	7	3144.184443	59460
4	8	2206.455281	59460
5	1	1335.851708	59511
5	2	4456.647528	59460
5	3	685.962679	59511
5	4	3713.735444	59511
5	5	731.396901	59511
5	6	1292.605586	59511
5	7	4169.027043	59460
5	8	2406.120179	59511
6	1	1035.414092	59511
6	2	6077.798004	59511
6	3	1046.919206	59460
6	4	597.597006	59460
6	5	1374.277562	59511
6	6	1861.114786	59511
6	7	906.711347	59511
6	8	2313.570953	59511
7	1	1710.159299	59360
7	2	5259.319806	59511
7	3	1969.591891	59511
7	4	1517.491086	59511
7	5	1678.652938	59511
7	6	2983.368907	59511
7	7	2376.930702	59511
7	8	2251.247685	59511
8	1	1288.620978	59511
8	2	1120.230428	59511
8	3	11.784359	59511
9	1	2912.404490	59460
9	2	1420.003989	59410
9	3	10.418918	59360
10	1	2963.860814	59460
10	2	2158.352338	59511
10	3	5.067222	59460
11	1	4338.555869	59460
11	2	2981.098268	59511
11	3	11.692259	59511
12	1	1712.709566	59511
12	2	2115.452824	59511
12	3	7.294030	59511
13	1	1855.919645	59511
13	2	2353.661172	59511
13	3	13.486448	59511
14	1	4858.129002	59410
14	2	1948.414024	59511
14	3	14.744753	59511
15	1	5366.529348	59511
15	2	2253.109257	59511
15	3	10.486717	59511
16	1	6473.059115	59410
16	2	1065.992018	59511
16	3	12.161214	59511
17	1	1329.024399	59511
17	2	2158.607249	59511
17	3	20.135269	59511
18	1	2291.731668	59460
18	2	1572.356374	59460
18	3	7.694231	59460
19	1	3067.013577	59511
19	2	2473.700875	59460
19	3	11.121561	59460
20	1	2457.192317	59511
20	2	2528.561610	59511
20	3	8.452891	59511
21	1	5066.971619	59511
21	2	2220.424360	59360
21	3	16.691154	59460
22	1	1283.887769	59511
22	2	8352.711633	59511
22	3	10.857707	59511
23	1	2191.279864	59511
23	2	3435.582951	59511
23	3	13.128413	59511
24	1	2466.858598	59511
24	2	3154.284645	59460
24	3	10.164430	59460
25	1	2955.344971	59460
25	2	2679.818454	59511
25	3	4.811783	59511
26	1	1661.514695	59511
26	2	1898.861673	59511
26	3	13.943086	59511
27	1	6082.845207	59460
27	2	2648.722889	59460
27	3	8.025311	59460
28	1	2654.602371	59460
28	2	2143.513421	59460
28	3	14.168769	59460
29	1	2748.087799	59511
29	2	2890.006016	59511
29	3	7.086152	59511
30	1	1228.352254	59460
30	2	2004.609956	59460
30	3	13.575711	59410
31	1	5583.363529	59511
31	2	4392.291752	59410
31	3	9.022080	59511
32	1	5707.778209	59511
32	2	3290.096218	59511
32	3	19.000067	59460
33	1	1779.464721	59511
33	2	2924.997982	59460
33	3	11.710776	59511
34	1	1541.046334	59460
34	2	3070.658220	59310
34	3	11.098486	59460
35	1	2171.411436	59460
35	2	1563.941036	59460
35	3	9.988715	59460
36	1	4807.623142	59460
36	2	5736.090330	59460
36	3	12.884712	59460
37	1	3661.186335	59511
37	2	10850.681349	59460
37	3	8.954798	59511
38	1	4236.148184	59460
38	2	1694.006172	59460
38	3	10.986108	59460
39	1	3190.542841	59511
39	2	6891.567979	59511
39	3	8.505722	59511
40	1	690.975030	59511
40	2	1675.695687	59511
40	3	6.908689	59511
41	1	2475.987624	59310
41	2	3035.168456	59410
41	3	7.638175	59410
42	1	1570.451002	59410
42	2	1774.738697	59410
42	3	5.155256	59360
43	1	2569.809401	59460
43	2	755.866790	59410
43	3	8.620568	59460
44	1	2782.020905	59460
44	2	2979.807229	59511
44	3	16.127052	59511
45	1	4889.345869	59511
45	2	2646.318748	59511
45	3	8.872410	59511
46	1	2742.040295	59511
46	2	3693.149754	59511
46	3	9.717716	59511
47	1	2540.367730	59511
47	2	4441.129489	59511
47	3	15.778730	59511
48	1	2356.146107	59511
48	2	3164.496328	59511
48	3	7.477777	59511
49	1	1496.264144	59460
49	2	2283.116683	59460
49	3	6.043096	59310
50	1	2253.352506	59511
50	2	2608.424795	59511
50	3	8.220300	59410
51	1	1736.025515	59260
51	2	1580.960159	59511
51	3	26.321705	59511
52	1	5444.101427	59511
52	2	3345.796391	59511
52	3	10.497101	59511
53	1	2578.882123	59511
53	2	2877.170905	59460
53	3	8.118297	59511
54	1	5111.690545	59511
54	2	3423.116634	59511
54	3	8.540942	59511
55	1	3213.657862	59511
55	2	3385.628674	59511
55	3	4.390062	59511
56	1	1967.523903	59511
56	2	3348.783703	59460
56	3	10.865874	59511
57	1	4017.176908	59511
57	2	4855.635731	59511
57	3	9.223320	59511
58	1	3846.691070	59460
58	2	2232.913112	59410
58	3	10.541675	59460
59	1	2201.290467	59511
59	2	3276.102018	59460
59	3	8.722757	59410
60	1	1982.603824	59360
60	2	3213.913791	59460
60	3	11.257148	59460
61	1	1458.194248	59460
61	2	3835.578935	59511
61	3	8.470501	59511
62	1	2559.359665	59511
62	2	3163.407723	59511
62	3	9.844096	59511
63	1	1695.836232	59511
63	2	2130.772042	59511
63	3	14.669288	59511
64	1	1992.245695	59460
64	2	1561.763674	59511
64	3	8.206348	59511
65	1	3597.381913	59511
65	2	4081.679421	59511
65	3	8.788678	59511
66	1	5632.377040	59511
66	2	3590.633345	59511
66	3	14.860732	59511
67	1	1799.633165	59460
67	2	5657.798671	59460
67	3	6.824908	59460
68	1	1717.764934	59460
68	2	2624.920200	59511
68	3	16.342256	59511
69	1	1246.341584	59511
69	2	2240.875300	59511
69	3	11.025609	59511
70	1	1070.328259	59511
70	2	2269.304465	59511
70	3	9.347696	59460
71	1	2749.032616	59511
71	2	4677.987246	59511
71	3	12.350355	59511
72	1	928.686982	59511
72	2	2527.562210	59460
72	3	1714.336024	59460
72	4	2612.374989	59511
72	5	1849.111072	59511
72	6	4521.927728	59511
72	7	2022.180387	59511
72	8	1559.702492	59511
73	1	3224.539169	59460
73	2	4322.561392	59511
73	3	1262.277161	59460
73	4	3615.001832	59511
73	5	5177.133286	59511
73	6	3275.120818	59511
73	7	1515.576835	59511
73	8	712.738704	59511
74	1	1152.353968	59511
74	2	2439.420326	59511
74	3	2378.088807	59511
74	4	3236.347864	59460
74	5	1903.273388	59410
74	6	3598.880341	59511
74	7	1937.868920	59460
74	8	1204.003495	59511
75	1	2322.744602	59511
75	2	2589.941238	59511
75	3	811.007148	59460
75	4	3351.632795	59460
75	5	2329.447578	59460
75	6	935.431257	59410
75	7	5963.127615	59460
75	8	2570.421872	59511
76	1	2625.161399	59511
76	2	2349.806952	59410
76	3	4907.083218	59410
76	4	2179.001296	59410
76	5	2563.692931	59511
76	6	1202.010401	59511
76	7	1686.487389	59511
76	8	3284.489977	59511
77	1	4421.444842	59511
77	2	766.315254	59460
77	3	2740.509066	59511
77	4	1486.136250	59310
77	5	2588.600141	59511
77	6	1451.072340	59511
77	7	3165.253235	59360
77	8	948.972140	59511
78	1	3197.158139	59511
78	2	2192.249853	59511
78	3	1099.595594	59460
78	4	2999.019072	59511
78	5	1953.902780	59360
78	6	3031.224648	59511
78	7	2802.081783	59511
78	8	2838.219896	59460
79	1	4096.020804	59460
79	2	2082.019089	59511
79	3	6045.083766	59511
79	4	1485.881315	59460
79	5	1574.964124	59511
79	6	4369.283370	59410
79	7	977.986658	59511
79	8	950.438339	59511
