NodeID	PortID	AverageQueueLength	SampleCount
0	1	1863.210684	51608
0	2	1427.711304	51608
0	3	961.152166	51608
0	4	7646.507479	51608
0	5	24599.126918	51608
0	6	2459.072876	51608
0	7	2708.450667	51608
0	8	12060.951228	51608
1	1	6080.213068	51608
1	2	936.597000	51608
1	3	1513.172706	51608
1	4	1338.437529	51608
1	5	10744.102814	51608
1	6	12626.120892	51608
1	7	5438.359518	51608
1	8	10053.793230	51608
2	1	3257.792435	51608
2	2	2563.077701	51608
2	3	1029.930767	51608
2	4	6960.163831	51608
2	5	23852.391199	51608
2	6	3013.152941	51608
2	7	1466.706150	51608
2	8	10770.890250	51608
3	1	4113.244245	51608
3	2	2853.963145	51608
3	3	6075.641277	51608
3	4	1894.657107	51608
3	5	5692.304953	51608
3	6	19063.649240	51608
3	7	3021.809681	51608
3	8	8236.976690	51608
4	1	17059.643660	51608
4	2	15592.472097	51608
4	3	6002.582894	51608
4	4	2122.400539	51608
4	5	21984.314428	51608
4	6	2463.483859	51608
4	7	1691.955898	51608
4	8	2369.091052	51608
5	1	15550.459851	51608
5	2	3167.685359	51608
5	3	1033.374128	51608
5	4	1614.902438	51608
5	5	3225.521935	51608
5	6	6939.661312	51608
5	7	1814.971826	51608
5	8	21914.661913	51608
6	1	1409.694737	51608
6	2	5662.190978	51608
6	3	2840.782747	51608
6	4	4630.574078	51608
6	5	6171.093144	51608
6	6	1491.900500	51608
6	7	4706.623140	51608
6	8	32074.621997	51608
7	1	665.147477	51608
7	2	2906.668753	51608
7	3	1770.640540	51608
7	4	1895.643253	51608
7	5	6516.784646	51608
7	6	40762.821462	51608
7	7	1506.924004	51608
7	8	10687.933809	51608
8	1	1215.131414	51608
8	2	15084.922008	51608
8	3	29.579523	51608
9	1	2625.495446	51608
9	2	18282.857018	51608
9	3	16.954381	51557
10	1	7517.405964	51608
10	2	20725.716556	51608
10	3	7.899395	51608
11	1	5836.183537	51608
11	2	16885.440474	51608
11	3	13.425903	51608
12	1	530.982910	51608
12	2	17213.998896	51608
12	3	97.000524	51557
13	1	1226.949736	51608
13	2	25849.556561	51608
13	3	54.817218	51608
14	1	15933.811502	51608
14	2	25985.162126	51608
14	3	5.386239	51608
15	1	4336.638641	51608
15	2	37006.762362	51608
15	3	2.591439	51608
16	1	7813.908716	51608
16	2	15081.383545	51608
16	3	5.003142	51557
17	1	4054.621047	51608
17	2	22210.061657	51608
17	3	1.813255	51557
18	1	1031.496977	51608
18	2	10855.232522	51608
18	3	18.748065	51557
19	1	2497.123430	51608
19	2	35156.695784	51608
19	3	22.314912	51608
20	1	3398.205220	51608
20	2	21690.364246	51608
20	3	36.027263	51608
21	1	1268.329678	51608
21	2	26046.500155	51608
21	3	24.987579	51608
22	1	1308.089928	51608
22	2	19349.648310	51608
22	3	42.116571	51608
23	1	1257.881491	51608
23	2	33374.831925	51608
23	3	2.256162	51608
24	1	25210.526953	51608
24	2	48482.691133	51608
24	3	12.499147	51608
25	1	9031.552666	51608
25	2	75721.552763	51608
25	3	8.833514	51608
26	1	7265.710122	51608
26	2	43167.797725	51608
26	3	22.145858	51557
27	1	3599.961769	51608
27	2	19042.581576	51608
