NodeID	PortID	AverageQueueLength	SampleCount
0	1	149.320883	397559
0	2	58.932276	397508
0	3	484.235210	397559
0	4	280.727963	397508
0	5	558.216333	397559
0	6	196.560645	397508
0	7	610.759960	397508
0	8	203.719258	397508
1	1	74.984705	397508
1	2	194.334306	397408
1	3	349.652955	397508
1	4	169.939954	397559
1	5	332.151165	397408
1	6	337.080982	397559
1	7	187.526807	397508
1	8	227.426687	397458
2	1	491.030416	397559
2	2	103.955659	397508
2	3	64.412538	397508
2	4	145.280948	397508
2	5	159.285178	397559
2	6	108.755727	397559
2	7	104.807370	397508
2	8	205.387309	397559
3	1	202.821068	397559
3	2	148.660440	397508
3	3	168.477628	397458
3	4	199.867042	397508
3	5	389.538080	397508
3	6	124.375585	397559
3	7	221.207393	397559
3	8	80.478344	397559
4	1	133.115017	397559
4	2	197.080770	397559
4	3	102.777537	397559
4	4	286.934905	397559
4	5	88.303107	397559
4	6	168.467078	397559
4	7	129.115226	397559
4	8	261.450746	397559
5	1	147.228208	397559
5	2	149.848739	397559
5	3	101.690984	397559
5	4	226.797067	397559
5	5	178.508840	397559
5	6	137.222266	397559
5	7	63.086800	397559
5	8	56.034925	397508
6	1	97.496850	397559
6	2	226.093289	397559
6	3	242.788421	397559
6	4	175.208469	397508
6	5	200.461783	397559
6	6	134.958024	397559
6	7	244.099470	397559
6	8	319.902955	397508
7	1	122.570131	397458
7	2	63.673045	397559
7	3	57.459226	397508
7	4	141.283759	397559
7	5	213.079545	397559
7	6	274.159003	397559
7	7	127.350758	397559
7	8	287.399553	397559
8	1	211.427941	397508
8	2	138.515345	397559
8	3	0.272893	397559
9	1	255.196019	397508
9	2	220.956252	397508
9	3	1.230564	397508
10	1	103.598507	397559
10	2	97.467525	397508
10	3	0.137077	397559
11	1	172.216770	397559
11	2	134.165739	397559
11	3	0.131804	397559
12	1	123.892283	397559
12	2	196.188981	397559
12	3	1.508035	397508
13	1	104.993455	397559
13	2	144.442432	397559
13	3	0.948991	397559
14	1	388.166833	397559
14	2	210.440833	397559
14	3	0.153248	397559
15	1	97.926232	397559
15	2	207.025601	397559
15	3	0.101497	397559
16	1	279.909750	397508
16	2	124.119469	397559
16	3	0.053191	397508
17	1	77.805995	397458
17	2	154.694338	397508
17	3	0.119150	397508
18	1	175.445795	397508
18	2	77.964999	397508
18	3	0.849663	397508
19	1	166.370036	397559
19	2	180.443777	397508
19	3	0.248665	397559
20	1	302.326958	397559
20	2	347.216521	397458
20	3	0.548973	397559
21	1	158.790220	397559
21	2	266.150257	397559
21	3	0.377599	397559
22	1	137.745794	397559
22	2	348.486793	397559
22	3	0.129563	397559
23	1	231.020266	397559
23	2	413.991591	397559
23	3	0.121260	397559
24	1	277.874856	397559
24	2	153.683966	397559
24	3	0.147621	397559
25	1	160.650150	397559
25	2	321.973885	397508
25	3	0.064531	397559
26	1	209.601402	397508
26	2	126.363540	397508
26	3	0.229543	397508
27	1	404.964214	397559
27	2	612.268733	397458
27	3	0.767302	397559
28	1	150.246220	397559
28	2	163.036689	397559
28	3	0.499001	397508
29	1	130.634190	397559
29	2	130.900118	397559
29	3	0.079228	397559
30	1	385.342221	397559
30	2	248.191843	397559
30	3	0.185380	397508
31	1	202.026465	397508
31	2	175.469067	397508
31	3	0.114091	397508
32	1	181.454073	397559
32	2	196.378195	397559
32	3	0.379991	397559
33	1	321.739784	397408
33	2	182.387148	397559
33	3	0.279425	397559
34	1	352.138088	397559
34	2	142.781786	397408
34	3	0.520462	397508
35	1	335.173817	397458
35	2	428.897886	397508
35	3	0.077661	397508
36	1	75.434127	397559
36	2	413.334491	397559
36	3	0.710098	397559
37	1	133.189008	397559
37	2	282.747967	397559
37	3	0.704034	397559
38	1	237.792479	397559
38	2	365.202771	397508
38	3	0.516673	397559
39	1	77.998526	397559
39	2	213.426623	397559
39	3	0.134803	397559
40	1	130.373275	397559
40	2	223.779897	397559
40	3	1.034418	397559
41	1	303.602268	397559
41	2	279.401190	397458
41	3	0.142385	397458
42	1	220.608312	397559
42	2	90.936935	397559
42	3	1.257413	397559
43	1	170.070215	397508
43	2	225.616140	397559
43	3	0.086991	397559
44	1	152.646359	397508
44	2	148.106855	397559
44	3	1.075994	397559
45	1	132.421781	397559
45	2	224.777625	397559
45	3	0.129316	397508
46	1	232.692021	397559
46	2	477.871911	397559
46	3	0.899041	397559
47	1	342.515912	397508
47	2	135.894695	397559
47	3	0.071547	397559
48	1	226.377909	397559
48	2	136.592084	397508
48	3	0.635861	397508
49	1	112.150566	397559
49	2	129.797356	397559
49	3	0.379693	397458
50	1	137.612651	397559
50	2	183.722723	397559
50	3	0.101366	397559
51	1	225.691385	397508
51	2	226.115226	397559
51	3	0.060630	397559
52	1	192.219188	397559
52	2	156.874318	397559
52	3	1.030710	397559
53	1	274.085399	397559
53	2	349.427443	397559
53	3	1.133517	397559
54	1	170.206163	397559
54	2	517.176198	397559
54	3	0.183291	397559
55	1	140.224887	397559
55	2	164.701410	397559
55	3	1.087778	397559
56	1	200.870208	397559
56	2	361.299623	397559
56	3	0.155086	397559
57	1	270.651192	397508
57	2	108.502589	397508
57	3	1.194784	397508
58	1	106.959042	397508
58	2	181.995517	397508
58	3	0.131821	397508
59	1	148.390304	397559
59	2	174.135072	397559
59	3	0.170734	397508
60	1	230.940336	397559
60	2	278.886751	397559
60	3	0.171346	397559
61	1	269.720167	397559
61	2	178.092494	397559
61	3	0.369052	397559
62	1	185.759163	397559
62	2	101.238234	397559
62	3	0.387505	397559
63	1	220.082151	397559
63	2	141.444837	397559
63	3	0.108487	397559
64	1	255.039795	397508
64	2	195.916789	397508
64	3	0.762023	397458
65	1	162.036525	397508
65	2	232.757444	397508
65	3	0.164605	397508
66	1	396.414117	397559
66	2	139.480545	397559
