NodeID	PortID	AverageQueueLength	SampleCount
0	1	237.590958	363234
0	2	72.747948	363183
0	3	143.868751	363234
0	4	261.911458	363183
0	5	336.064135	363234
0	6	113.254103	363183
0	7	231.977309	363234
0	8	276.490103	363183
1	1	61.700402	363183
1	2	99.978647	363083
1	3	305.721983	363183
1	4	220.489161	363234
1	5	72.969334	363133
1	6	159.178419	363234
1	7	206.641577	363183
1	8	148.945766	363183
2	1	189.855488	363133
2	2	117.448474	363183
2	3	184.899714	363183
2	4	106.807015	363183
2	5	249.224113	363183
2	6	63.368190	363234
2	7	208.686332	363183
2	8	165.860899	363183
3	1	192.668864	363234
3	2	101.158614	363234
3	3	242.309323	363183
3	4	192.341901	363234
3	5	131.144907	363234
3	6	118.198627	363234
3	7	133.306351	363234
3	8	34.381068	363234
4	1	147.274069	363234
4	2	253.680410	363234
4	3	96.322875	363234
4	4	300.878376	363234
4	5	55.931248	363234
4	6	106.056837	363234
4	7	277.536109	363234
4	8	166.960136	363234
5	1	108.712538	363234
5	2	210.926315	363234
5	3	123.786812	363234
5	4	155.339544	363234
5	5	258.303599	363183
5	6	153.048781	363234
5	7	74.832637	363234
5	8	88.134516	363183
6	1	192.431485	363234
6	2	59.012242	363083
6	3	263.344381	363234
6	4	267.083010	363234
6	5	110.127543	363234
6	6	112.832808	363234
6	7	240.630368	363234
6	8	304.096445	363234
7	1	92.606135	363234
7	2	84.468555	363234
7	3	161.044336	363183
7	4	243.478367	363234
7	5	146.074255	363234
7	6	149.146658	363234
7	7	122.650553	363234
7	8	318.829801	363234
8	1	139.265183	363183
8	2	233.145003	363234
8	3	0.504909	363234
9	1	196.474871	363183
9	2	149.778095	363183
9	3	0.831052	363183
10	1	164.290968	363133
10	2	135.288321	363234
10	3	0.152915	363234
11	1	369.666221	363234
11	2	236.806189	363183
11	3	0.314486	363234
12	1	98.766418	363234
12	2	367.884634	363234
12	3	1.533356	363183
13	1	267.191061	363234
13	2	217.132234	363234
13	3	0.348489	363234
14	1	196.053519	363234
14	2	430.584865	363234
14	3	0.273581	363234
15	1	160.299501	363234
15	2	164.148447	363234
15	3	0.132719	363234
16	1	329.541749	363183
16	2	116.792010	363234
16	3	0.052395	363183
17	1	150.110432	363183
17	2	132.019112	363183
17	3	0.141733	363183
18	1	74.330227	363183
18	2	147.427616	363183
18	3	0.604406	363183
19	1	240.245957	363234
19	2	140.971506	363234
19	3	0.415806	363234
20	1	290.726757	363234
20	2	286.668484	363183
20	3	0.201963	363234
21	1	225.316050	363183
21	2	189.579139	363234
21	3	0.464516	363234
22	1	183.091297	363234
22	2	136.785061	363234
22	3	0.650498	363234
23	1	194.271026	363234
23	2	285.052708	363133
23	3	0.115884	363234
24	1	179.801065	363234
24	2	240.446896	363234
24	3	0.201963	363234
25	1	217.104660	363234
25	2	236.654507	363133
25	3	0.197080	363234
26	1	94.194081	363183
26	2	169.364916	363133
26	3	0.863053	363183
27	1	279.075920	363183
27	2	527.864005	363234
27	3	1.661257	363234
28	1	269.202957	363234
28	2	150.643665	363234
28	3	0.193558	363183
29	1	77.180074	363234
29	2	219.664464	363234
29	3	0.150030	363234
30	1	441.059058	363234
30	2	218.765575	363234
30	3	0.640834	363183
31	1	194.608949	363183
31	2	252.037505	363183
31	3	0.121195	363183
32	1	117.874544	363234
32	2	211.045191	363234
32	3	0.201963	363234
33	1	242.583150	363083
33	2	92.021245	363234
33	3	0.592527	363234
34	1	348.769992	363183
34	2	87.335792	363183
34	3	0.522555	363183
35	1	309.649386	363183
35	2	320.736616	363234
35	3	0.139960	363183
36	1	211.411377	363234
36	2	313.367430	363234
36	3	0.972296	363234
37	1	184.228492	363234
37	2	270.099236	363234
37	3	0.972310	363234
38	1	298.370978	363234
38	2	217.497405	363183
38	3	1.336488	363234
39	1	114.588992	363234
39	2	149.608610	363234
39	3	0.219930	363234
40	1	184.852869	363234
40	2	168.421943	363234
40	3	1.288583	363234
41	1	172.872784	363234
41	2	177.294796	363133
41	3	0.692639	363133
42	1	156.651002	363234
42	2	127.412585	363234
42	3	1.578696	363234
43	1	178.827709	363183
43	2	187.327384	363234
43	3	0.092326	363234
44	1	144.929996	363234
44	2	222.750423	363183
44	3	1.306992	363234
45	1	169.254150	363234
45	2	205.828577	363183
45	3	0.176622	363183
46	1	315.070503	363234
46	2	443.465678	363234
46	3	0.959225	363234
47	1	204.131141	363234
47	2	124.749266	363234
47	3	0.194296	363234
48	1	89.360066	363183
48	2	215.256727	363183
48	3	0.548264	363183
49	1	151.934397	363183
49	2	156.619722	363234
49	3	0.460167	363133
50	1	208.198809	363133
50	2	185.341592	363234
50	3	0.119207	363234
51	1	394.838782	363234
51	2	228.513256	363234
51	3	0.072356	363234
52	1	387.012570	363234
52	2	226.949104	363234
52	3	0.828871	363234
53	1	244.388959	363234
53	2	332.596695	363234
53	3	1.119650	363234
54	1	166.469048	363234
54	2	330.234169	363234
54	3	1.379551	363234
55	1	250.998855	363234
55	2	193.578789	363234
55	3	1.238774	363234
56	1	384.795132	363234
56	2	230.371650	363234
56	3	0.480412	363234
57	1	250.674092	363234
57	2	220.822682	363183
57	3	1.558004	363234
58	1	219.999342	363183
58	2	143.111833	363183
58	3	0.181666	363183
59	1	113.913373	363234
59	2	411.230177	363234
59	3	0.269536	363183
60	1	155.748080	363234
60	2	292.276312	363234
60	3	0.207734	363234
61	1	146.863055	363234
61	2	215.647327	363234
61	3	0.856902	363234
62	1	115.351724	363234
62	2	163.355815	363234
62	3	0.119532	363234
63	1	135.381953	363183
63	2	132.315554	363234
63	3	0.159228	363234
64	1	262.181716	363183
64	2	205.319049	363183
64	3	0.820721	363133
65	1	130.658282	363083
65	2	215.694028	363183
65	3	0.248161	363183
66	1	156.241179	363183
