NodeID	PortID	AverageQueueLength	SampleCount
0	1	242.037461	121992
0	2	174.581519	121941
0	3	518.483868	121992
0	4	328.954929	121941
0	5	1459.271452	121992
0	6	414.267941	121941
0	7	402.259757	121941
0	8	534.765756	121941
1	1	214.288484	121941
1	2	581.443644	121841
1	3	1026.180300	121941
1	4	669.468826	121992
1	5	1145.448240	121841
1	6	953.131050	121992
1	7	564.665937	121941
1	8	188.144449	121891
2	1	240.935061	121992
2	2	374.823521	121941
2	3	155.735913	121941
2	4	500.977383	121941
2	5	433.735720	121992
2	6	273.726892	121992
2	7	229.976144	121941
2	8	392.047642	121992
3	1	233.981720	121992
3	2	471.632724	121941
3	3	377.246811	121891
3	4	907.697304	121941
3	5	595.093020	121941
3	6	363.426135	121992
3	7	345.061070	121992
3	8	142.272436	121992
4	1	454.310184	121992
4	2	517.846998	121992
4	3	316.443800	121992
4	4	821.068816	121992
4	5	191.859433	121992
4	6	287.365967	121992
4	7	737.077489	121992
4	8	275.237794	121992
5	1	711.421151	121992
5	2	343.345744	121992
5	3	515.695037	121992
5	4	388.402953	121992
5	5	238.354720	121992
5	6	347.907018	121992
5	7	177.324218	121992
5	8	175.307403	121941
6	1	447.047405	121992
6	2	467.936807	121992
6	3	252.683283	121992
6	4	184.353950	121941
6	5	381.698259	121992
6	6	148.663535	121992
6	7	590.042175	121992
6	8	661.498659	121941
7	1	619.727043	121891
7	2	294.722695	121992
7	3	306.064170	121941
7	4	198.939185	121992
7	5	895.399125	121992
7	6	1198.733704	121992
7	7	203.528756	121992
7	8	1064.248287	121992
8	1	543.434546	121941
8	2	427.467998	121992
8	3	1.986056	121992
9	1	357.656760	121941
9	2	990.524008	121941
9	3	13.446609	121941
10	1	518.821800	121992
10	2	358.869814	121941
10	3	0.364467	121992
11	1	631.724728	121992
11	2	324.995598	121992
11	3	0.708145	121992
12	1	297.079169	121992
12	2	768.772706	121992
12	3	16.329208	121941
13	1	309.165019	121992
13	2	582.722285	121992
13	3	10.178184	121992
14	1	912.026510	121992
14	2	671.658953	121992
14	3	0.524034	121992
15	1	324.242032	121992
15	2	680.211334	121992
15	3	0.451890	121992
16	1	644.241125	121941
16	2	292.468449	121992
16	3	0.258871	121941
17	1	477.848537	121891
17	2	360.739087	121941
17	3	0.581970	121941
18	1	627.552283	121941
18	2	214.517775	121941
18	3	7.348144	121941
19	1	362.570996	121992
19	2	465.858350	121941
19	3	2.741475	121992
20	1	591.541757	121992
20	2	1394.179275	121891
20	3	4.989368	121992
21	1	278.135329	121992
21	2	953.060176	121992
21	3	4.400920	121992
22	1	606.987163	121992
22	2	1728.499393	121992
22	3	0.440135	121992
23	1	481.193537	121992
23	2	894.152141	121992
23	3	0.318800	121992
24	1	1120.649985	121992
24	2	374.025534	121992
24	3	0.584169	121992
25	1	391.813742	121992
25	2	712.126299	121941
25	3	0.430413	121992
26	1	282.950066	121941
26	2	367.295233	121941
26	3	0.696886	121941
27	1	659.241639	121992
27	2	1186.854239	121891
27	3	5.349662	121992
28	1	506.618713	121992
28	2	355.784560	121992
28	3	6.462929	121941
29	1	295.560496	121992
29	2	634.458464	121992
29	3	0.269042	121992
30	1	1131.933463	121992
30	2	1243.658961	121992
30	3	0.781279	121941
31	1	662.428535	121941
31	2	583.814058	121941
31	3	0.279791	121941
32	1	561.737040	121992
32	2	587.906658	121992
32	3	2.121319	121992
33	1	841.924344	121841
33	2	330.931651	121992
33	3	1.606466	121992
34	1	1023.069931	121992
34	2	402.652884	121841
34	3	2.088420	121941
35	1	589.874289	121891
35	2	824.038437	121941
35	3	0.329938	121941
36	1	356.362483	121992
36	2	1324.793363	121992
36	3	5.145846	121992
37	1	587.000180	121992
